"Var1","Freq"
"一丁點",1
"一人",3
"一下",1
"一大塊",1
"一中",12
"一五",1
"一切",2
"一代",2
"一代人",1
"一半",2
"一句",2
"一年",1
"一成",1
"一次",5
"一役",1
"一來",1
"一味",1
"一定",7
"一直",2
"一股",1
"一度",3
"一面",1
"一面倒",1
"一個",14
"一家親",5
"一旁",2
"一時之選",1
"一級",1
"一般",1
"一起",1
"一針見血",1
"一國",4
"一條",2
"一連串",1
"一場",1
"一期",1
"一番",1
"一搏",2
"一經",1
"一腳",1
"一頓",1
"一對一",1
"一幕",1
"一樣",2
"一稿",1
"一篇",1
"一線",1
"一輩",1
"一輩子",1
"一職",1
"一邊",1
"丁守中",61
"丁說",1
"七個",1
"九二",5
"了不起",1
"了嗎",1
"了解",7
"二場",1
"人一",1
"人士",4
"人才",1
"人心思變",1
"人民",3
"人共",1
"人命",1
"人物",3
"人玩掉",1
"人員",2
"人家",1
"人格特質",1
"人情",1
"人許",4
"人陳鳳馨",3
"人渣",1
"人稱",1
"人管",2
"人認",1
"人數",1
"人選",21
"入法",1
"八田",1
"刀片",1
"力拱管",1
"力挺",1
"力挺管",1
"力量",1
"十分",2
"又還",1
"三分之一",1
"三立",1
"三字經",1
"三年",1
"三足鼎立",1
"三強",2
"三腳",1
"三點",1
"上下",1
"上台",3
"上任",1
"上並",1
"上述",1
"上海",3
"上海市委",1
"上班",1
"上萬",1
"下午",9
"下台",3
"下降",2
"下落不明",1
"下達",1
"下榻",1
"凡事",1
"千方百計",1
"千則",1
"口才",1
"口不擇言",1
"口吻",1
"口罩",1
"大力",1
"大小事",6
"大老",2
"大言不慚",1
"大於",2
"大門",1
"大軍",1
"大家",3
"大排場",1
"大敗",1
"大眾",1
"大陸",14
"大陸軍",1
"大幅",2
"大量",1
"大嗎",1
"大解密",1
"大道",1
"大團結",1
"大閨女",1
"大罵",1
"大學",7
"大學校長",1
"大選",5
"大黨",1
"女王",1
"女性",1
"子敬",1
"子彈",1
"子讀",1
"小平",32
"小平力",1
"小平今",1
"小平批",2
"小平則",1
"小平將",1
"小到",2
"小孩",2
"小英",5
"小時",2
"小組",1
"山海關",1
"工作",2
"工作者",1
"工程師",1
"工會",1
"已於",1
"已非",1
"已登記",1
"已開",1
"已經",4
"才能",2
"才續",1
"不力",1
"不小",1
"不分",2
"不太",1
"不太會",1
"不少",6
"不支",1
"不可",1
"不用",1
"不再",3
"不合",1
"不同",2
"不吐",1
"不因",1
"不好",1
"不如",1
"不快",1
"不見",1
"不見得",1
"不足",2
"不佳",2
"不到",1
"不宜",1
"不明",2
"不易",1
"不肯",1
"不約而同",1
"不耐煩",1
"不要",3
"不倒",1
"不能",6
"不退",2
"不夠",1
"不得不",1
"不惜",1
"不清",1
"不甜",1
"不提",1
"不敢",3
"不絕",1
"不僅",5
"不想",1
"不會",9
"不過",8
"不滿",4
"不盡",2
"不管",1
"不選",1
"不贏",1
"不顧",1
"不讓",3
"中午",1
"中天",8
"中心",2
"中央",3
"中央委員",1
"中央級",1
"中央黨校",1
"中央黨部",1
"中生代",4
"中共",3
"中南",1
"中研院",1
"中國",9
"中國時報",4
"中部",1
"中華",1
"中華人民",1
"中華民國",6
"中視",2
"中間",8
"中縣",1
"中興大學",1
"中還",1
"中屬",1
"之一",1
"之下",2
"之作",1
"之前",1
"之後",1
"之差",1
"之處",1
"之間",2
"之勢",1
"之路",1
"之戰",1
"互打",1
"互相",2
"互動",2
"互聯網",1
"五五波",1
"什麼",8
"什麼樣",1
"仁愛路",1
"今天",32
"今天下午",5
"今年初",1
"今年底",1
"今晚",1
"仍以",1
"仍待",1
"元素",1
"內政",1
"內政部長",1
"內容",2
"內涵",2
"內部",5
"公司",1
"公布",8
"公平",2
"公正",2
"公民",1
"公民投票",2
"公共事務",1
"公共秩序",1
"公宅",1
"公安",1
"公投",2
"公然",1
"公開",1
"公職",1
"公證結婚",1
"公聽會",1
"分成",1
"分別",3
"分析",6
"分區",1
"分裂",2
"分開",1
"分鐘",1
"勾引",1
"化大",1
"化身",1
"化等",1
"午宴",1
"友邦",1
"反之",1
"反而",1
"反核",4
"反商",1
"反彈",2
"反觀",2
"天王",1
"天后",2
"天然",2
"天賦",1
"天龍",1
"太久",1
"太好",1
"太差",2
"太晚",1
"太陽",5
"太爛",1
"夫人",1
"少子",2
"引發",6
"引領",1
"心中",1
"心存僥倖",1
"心來",1
"心知肚明",1
"心情",1
"心經",1
"支持",28
"支持者",7
"文化",2
"文本",1
"文則",1
"文科",1
"文教",1
"文創",1
"文傳",1
"方式",2
"方面",4
"方案",1
"日本",1
"日至",6
"日初",1
"日到",1
"日前",5
"日起將",1
"月光",1
"月初",5
"月底",6
"歹徒",1
"比阿扁",1
"比前",1
"比柯",1
"比喻",1
"比較",2
"比劃",1
"比賴",1
"水庫",1
"火車頭",1
"火花",1
"火則",1
"父親",1
"片商",2
"王丰",4
"王金平",1
"王家",9
"王毅",1
"王鴻薇",1
"世代",1
"世家",2
"世襲",1
"主文",1
"主任",5
"主任委員",1
"主委",24
"主持",3
"主持人",4
"主要",2
"主修",1
"主席",17
"主張",14
"主管",1
"主辦單位",4
"主權",2
"他人",1
"他來",1
"他問",1
"他將",2
