"Var1","Freq"
"一一",3
"一一對",1
"一七",1
"一二",1
"一人",4
"一刀",1
"一下",23
"一下子",5
"一千",1
"一千三百",2
"一千元",2
"一千戶",1
"一口",2
"一口氣",2
"一大",2
"一大步",5
"一大堆",2
"一大部分",1
"一大跳",1
"一小",1
"一五",1
"一元",2
"一分",1
"一分錢",1
"一分鐘",1
"一切",16
"一天",9
"一夫多妻",1
"一手",1
"一支",1
"一文",2
"一文不值",1
"一方",4
"一方面",9
"一日",9
"一月",3
"一毛錢",1
"一片",2
"一代",2
"一出",6
"一半",6
"一半一半",1
"一去不回",1
"一句",14
"一台",1
"一四",1
"一旦",9
"一生",1
"一件",5
"一份",8
"一休",4
"一共",1
"一再",7
"一同",3
"一名",9
"一向",2
"一如",1
"一年",19
"一年一度",1
"一年多來",2
"一次",20
"一次性",3
"一百五十元",1
"一百分",1
"一百四十",1
"一百步",1
"一百萬元",1
"一百種",3
"一至",2
"一行",1
"一位",15
"一役",2
"一批",2
"一把",2
"一步",10
"一步之遙",1
"一決",1
"一系列",2
"一角",2
"一言一行",2
"一言堂",1
"一身",1
"一事",11
"一事無成",1
"一些",21
"一佳言",1
"一併",3
"一來一往",1
"一例",4
"一兩句",1
"一兩年",1
"一到",1
"一周",1
"一味",1
"一定",64
"一拐",2
"一拖再拖",1
"一波",3
"一波三折",1
"一波來",1
"一直",35
"一股",2
"一則",2
"一封",3
"一度",7
"一律",1
"一星",1
"一段",1
"一段時間",2
"一派",1
"一流",1
"一盆",1
"一科",1
"一致",27
"一致同意",1
"一致性",1
"一軍來",2
"一面",4
"一面倒",1
"一個",112
"一個月",7
"一個多元",1
"一倍",1
"一哭",1
"一套",2
"一家",4
"一家家",1
"一家親",143
"一席之地",1
"一席話",3
"一弱",1
"一旁",3
"一時",14
"一時之間",2
"一時之選",1
"一根",5
"一案",1
"一班",1
"一笑",1
"一般",7
"一起",27
"一陣",4
"一陣子",4
"一隻",2
"一馬",3
"一副",2
"一堆",4
"一帶",2
"一張",8
"一族",1
"一條",1
"一條街",1
"一條龍",1
"一瓶",1
"一票",2
"一章",1
"一處",2
"一貫",1
"一貫主張",3
"一途",1
"一連串",7
"一部",1
"一部分",3
"一場",21
"一幅",1
"一期",1
"一棟",1
"一番",1
"一痛",1
"一筆勾銷",2
"一詞",2
"一超",1
"一項",2
"一塊",3
"一塌胡塗",1
"一搏",2
"一睹",1
"一經",3
"一群",4
"一萬",1
"一萬八千",1
"一萬六千",2
"一葉知秋",1
"一號",1
"一路",13
"一較高下",2
"一頓飯",1
"一團",1
"一對",4
"一幕",1
"一幕幕",1
"一槍",1
"一種",15
"一算柯",1
"一說",2
"一審",1
"一樁",1
"一模一樣",1
"一樣",32
"一盤",1
"一稿",3
"一窮二白",1
"一篇",1
"一趟",1
"一輛",1
"一輩子",3
"一輪",2
"一戰",1
"一擁而上",1
"一頭霧水",1
"一聲",1
"一舉",3
"一舉一動",2
"一顆",1
"一點",22
"一點點",1
"一職",3
"一爆",1
"一邊",2
"一關",1
"一類",1
"一體",1
"一顰一笑",1
"乙地",2
"乙店",2
"乙醯胺",1
"丁丁",3
"丁守中",9
"丁育群",1
"丁則",1
"丁勝柯",1
"七二",1
"七十二",1
"七月",5
"七年",5
"七百",1
"七度",1
"七星",2
"七個",3
"七億",1
"乃至",2
"九二",4
"九十六",1
"九十天",1
"九千",1
"九五",1
"九分",1
"九日",1
"九月",1
"九名",1
"九州",1
"九年",4
"九成",1
"九次",1
"九到",1
"九連",1
"九億",1
"九職",2
"了結",1
"了嗎",3
"了解",46
"了點",1
"二十",1
"二十一",1
"二十九",1
"二十八日",1
"二十五",1
"二十五日",1
"二十四",1
"二十四名",1
"二十年",1
"二千",2
"二五",1
"二元",1
"二六",2
"二分之一",1
"二手",2
"二年",1
"二成",2
"二次",2
"二百五十",1
"二百萬",1
"二位",1
"二姐",1
"二房",1
"二則",2
"二度",3
