"Var1","Freq"
"一切",1
"一天",1
"一方面",1
"一句",1
"一同",1
"一位",2
"一局",1
"一改",2
"一事",1
"一刻",1
"一定",1
"一直",1
"一面",1
"一面倒",1
"一個",5
"一個月",3
"一般",1
"一般而言",1
"一起",3
"一張",1
"一條",1
"一部",1
"一塊",1
"一樣",3
"一點",3
"了解",2
"人才濟濟",1
"人民",1
"人物",3
"人要",1
"人將",2
"人嗎",1
"人緣",1
"人選",9
"力主",2
"力量",1
"三足鼎立",1
"上班",4
"口稱",1
"口誤",1
"土地",1
"大小事",2
"大多",1
"大老",2
"大法官",1
"大家",8
"大財團",1
"大學",1
"大橋",1
"女兒",3
"女性",1
"子法",1
"小平",2
"小時",2
"小農",1
"山包",2
"工作",10
"工身",1
"工時",2
"工會",1
"已久",1
"已經",6
"才能",1
"不少",2
"不可",1
"不同",1
"不克",1
"不周",1
"不法",1
"不耐煩",1
"不要",1
"不負責任",1
"不能",1
"不符",1
"不僅",1
"不會",3
"不過",5
"不管",2
"中心",4
"中央",5
"中央研究院",1
"中生代",2
"中國",3
"中執",1
"中將",1
"中講",1
"之下",1
"之後",1
"之家",1
"之間",1
"互利",1
"互補",1
"五年級",1
"什麼",2
"今天",22
"今年",2
"今明兩天",1
"介入",2
"內容",1
"公司",8
"公布",1
"公平",1
"公托公幼",1
"公園",2
"分來",1
"分析",2
"反分裂",1
"反服貿",1
"反問",1
"反應",1
"反覆無常",1
"天內",1
"天天",3
"天王老子",1
"天龍",1
"太平洋",1
"太陽",1
"夫人",1
"夫婦",1
"少領",3
"尤其",2
"引來",2
"引發",7
"引爆",1
"心痛",1
"手術",1
"手無寸鐵",1
"支持",3
"支持者",4
"支線",1
"支應",1
"文化",1
"文化部長",2
"文則",1
"文宣",6
"方式",1
"方便",1
"方面",1
"日文",2
"日本",3
"日至",1
"日前",1
"比不上",1
"氏症",1
"水車",1
"水柱",1
"火大",1
"火線",1
"王政爭",1
"王時",1
"世代",2
"主委",1
"主持人",1
"主動",1
"主張",2
"主管機關",4
"主辦",1
"代表",2
"以志",1
"以來",1
"以前",3
"以後",1
"出生",1
"出來",1
"出席",5
"出現",1
"加入",2
"加上",2
"加油打氣",1
"加保",3
"加班費",3
"加強",1
"加蓋",1
"包括",2
"包裝",1
"北市",2
"北路",1
"半句話",1
"半個",1
"去世",1
"去年",1
"句點",1
"另一名",1
"只要",1
"只限",1
"只能",1
"只會",2
"召開",1
"可以",12
"可能",3
"可能性",1
"台大",1
"台北",25
"台北人",2
"台北市",7
"台北市長",18
"台南",1
"台糖",1
"台灣",6
"史明",4
"四百年",1
"四遍",1
"外界",2
"外傳",1
"失衡",3
"巨木",1
"巨蛋",5
"市民",2
"市府",4
"市長",14
"市政",1
"市場",4
"市議員",3
"布局",1
"必要",2
"必須",2
"打氣",1
"打得",1
"打造",1
"未來",8
"未定",1
"未遂",1
"本次",1
"正式",2
"民主",7
"民代",3
"民法",1
"民怨",1
"民眾",1
"民進黨",34
"生命",1
"生活",1
"用意",1
"皮卡丘",1
"目前",6
"目標",2
"立委",7
"立法",1
"立法委員",1
