"Var1","Freq"
"一人",2
"一口",1
"一口氣",2
"一大",1
"一大截",1
"一天",1
"一支",1
"一文",1
"一月",1
"一句",1
"一只",1
"一旦",1
"一本",1
"一份",1
"一同",2
"一名",2
"一年",1
"一曲",2
"一次",3
"一位",3
"一些",2
"一味",1
"一定",9
"一直",2
"一度",1
"一段時間",1
"一個",13
"一個半",1
"一家親",1
"一時",1
"一根",2
"一般",1
"一起",3
"一條",1
"一票",1
"一聊",1
"一處",1
"一場",1
"一階限水",2
"一搏",1
"一萬",1
"一萬五千",1
"一萬元",1
"一路",2
"一路領先",1
"一較高下",2
"一遍",1
"一對",1
"一對一",2
"一樣",5
"一篇",1
"一諾",1
"一翻",1
"丁以",1
"七成",1
"七萬",1
"七萬戶",1
"九二",1
"了不起",1
"了解",10
"二十",1
"二十七日",1
"二十九日",1
"二十五日",1
"二十四日",1
"二十歲",1
"二重",1
"二擇",1
"人力",1
"人士",6
"人工",1
"人心惶惶",1
"人文",1
"人正",1
"人民",2
"人並",1
"人命",1
"人物",3
"人員",3
"人家",2
"人格",1
"人格特質",1
"人馬",1
"人提",1
"人管",1
"人認",1
"人潮",1
"人選",29
"人類",1
"人權",1
"入獄",1
"八方",1
"八點檔",1
"力挺黨",1
"力量",4
"力道",1
"十七歲",1
"十二",1
"十五",1
"十分鐘",1
"十多名",1
"十個月",1
"三人",1
"三十一日",1
"三十五歲",1
"三十日",1
"三大",1
"三立",1
"三成",2
"三位",1
"三角",2
"三足鼎立",1
"三個",1
"三高",2
"三強",1
"三雄",1
"三腳",4
"三頻",1
"上下",1
"上午",1
"上台",1
"上任",1
"上吊",1
"上衣",1
"上周三",1
"上述",1
"上場",1
"上會",1
"上路",2
"上網",1
"下午",3
"下去",1
"下周一",2
"下跌",1
"下週",1
"下週一",1
"下跪",1
"下樓",1
"下轄",1
"千堆",1
"千票",1
"千萬",1
"口水戰",2
"口號",1
"口頭禪",2
"土城",1
"土嗎",1
"士氣",2
"士鄭",1
"大小",1
"大小事",1
"大升",1
"大方",1
"大生",1
"大任",1
"大安區",1
"大老",1
"大步",1
"大家",7
"大敗",2
"大陸",9
"大創",3
"大量",1
"大隊",1
"大愛",2
"大愛應",1
"大跳電",1
"大運",2
"大樓",1
"大學",1
"大學生",2
"大戰",1
"大戲",1
"女人",1
"女子",2
"女生",1
"女性",5
"女性主義",1
"女童",3
"子女",1
"子之心",2
"子弟兵",1
"小天使",1
"小孩",1
"小客車",1
"小英",1
"小時",3
"小說",1
"川金會",4
