"Var1","Freq"
"一下",1
"一下子",1
"一切",1
"一天",1
"一片",1
"一半",1
"一同",1
"一位",1
"一些",1
"一延",1
"一直",1
"一度",2
"一段",1
"一致性",1
"一個",1
"一家親",5
"一時",1
"一起",3
"一場",3
"一路",2
"一種",1
"一樣",4
"一灘",1
"丁守",1
"丁守中",32
"丁則",1
"了解",1
"二度",1
"人士",3
"人才",1
"人民",2
"人物",3
"人家",1
"人氣",1
"人問",1
"人嗎",1
"人稱",1
"人選",16
"力拱前",1
"力挺",1
"十拿九穩",1
"又問",1
"三人",2
"三次",1
"三足鼎",1
"三流",1
"上午",1
"上周",1
"上屆",1
"下午",4
"下來",1
"下戰",1
"千金",1
"千則",1
"口水",1
"土地",4
"土壤",1
"士北",3
"士林",1
"士氣",1
"大力",1
"大千",1
"大片",1
"大本營",1
"大多",1
"大多數",1
"大好",1
"大局",1
"大於",1
"大門",1
"大家",4
"大案",1
"大亂",1
"大路",1
"大樓",1
"大選",2
"大戲",1
"女兒",1
"子弟兵",1
"寸土",1
"小平",18
"小平以",1
"小平認",1
"小雞",2
"山水",1
"工作",2
"工程",7
"工程進度",1
"已經",3
"已領",1
"才能",1
"不大",2
"不小",1
"不公",1
"不分",1
"不少",2
"不失",1
"不用",2
"不同",4
"不好",1
"不如",5
"不死心",1
"不狂",1
"不見得",2
"不足",1
"不佳",1
"不到",2
"不明朗",1
"不知情",1
"不要",2
"不能",3
"不參",1
"不夠",2
"不惜",1
"不敢",1
"不僅",2
"不想",1
"不會",3
"不該",2
"不過",8
"不對",2
"不滿",2
"不管",1
"不需",1
"不適",1
"不謀而合",1
"不輸給",1
"不選",1
"不錯",4
"不應",1
"不斷",3
"不變",1
"中心",3
"中性",1
"中國",1
"中樞",1
"之下",1
"之友",1
"之爭",1
"之間",2
"五大",1
"五五波",1
"什麼",5
"今天",2
"今年",4
"今年初",1
"今年底",1
"仍以",1
"仍急",1
"仍頻",1
"內部",1
"內湖",2
"公司",2
"公布",4
"公平競爭",1
"公正",1
"公告",6
"公車",1
"公頃",1
"公開",1
"公職人員",1
"分心",1
"分手",1
"分布",1
"分別",1
"分析",6
"分面",1
"分散",1
"分裂",1
"分藍營",1
"分鐘",1
"切開",1
"友人",1
"反映",1
"反柯",1
"反倒",1
"反問",2
"反對",3
"反彈",3
"天公",1
"天龍",1
"太久",2
"太太",2
"太多",2
"太早",1
"尤其",2
"引人",1
"引起",1
"引發",2
"引爆",1
"心中",1
"心灰意冷",1
"心動",1
"心理",1
"手機",1
"支持",47
"支持者",3
"文宣",1
"文哲",3
"文智",1
"文說",2
"方式",2
"方法",1
"方面",1
"日才",1
"日先",1
"日至",4
"日前",2
"日將",1
"日晚",1
"日期",1
"月初",3
"欠缺",1
"比例",4
"比較",3
"水表",1
"水準",2
"水溫",1
"牛步",2
"王欣",1
"王鴻",1
"王鴻薇",2
"世主",1
"世代",1
"世代交替",2
"主委",20
"主要",1
"主席",7
"主動",1
"主張",6
"主管",1
"他批",1
"他教",1
"他現",1
"他認",2
"他憤",1
"代表",3
"代表性",1
"代理",1
"代價",1
"令人",2
"以上",2
"以北",1
"以來",1
"以前",1
"出示",1
"出身",2
"出來",3
"出征",4
"出面",1
"出席",5
"出馬",3
"出現",2
"出發點",1
"出線",3
"出藍營",1
"出爐",2
"加入",2
"加上",1
"加護",1
"加權",1
"包括",8
"包商",1
"北上",1
"北市",17
"北投",1
"北部",1
"北藝",2
"去年",2
"去年底",1
"另一方面",1
"另外",5
"另名",1
"另類",1
"只好",1
"只要",5
"只想",1
"可以",5
"可見",2
"可能",9
"可能性",1
"可圈可點",1
"可望",1
"可達",1
"可謂",1
"台大",3
"台北",24
"台北人",1
"台北市",19
"台北市民",1
"台北市長",43
"台灣",9
"四兩",1
"四處",1
"外人",1
"外界",4
"外省",1
"外科",1
"外傳",4
"外溢",1
"外賓",1
"失掉",1
"失智",1
"巨蛋",2
"市北",1
"市民",2
"市府",12
"市長",38
"市政",2
"市場",1
"市議",1
"市議員",8
"市黨部",20
"平台",1
"平則將",1
"平將",1
"平靜",1
"必然",2
"必須",5
"打下",1
"打成",1
"打電話",1
"打算",5
"打擊",1
"未來",2
"未過",1
"未達",3
"本人",3
"本次",2
"本來",1
"本報",1
"本質",1
"正式",1
"正負",2
"正面",1
"母親",3
"母雞",3
"母體",1
"民代",1
"民進",2
"民進黨",43
"民意",6
"民調",31
"民黨",1
"瓜分",1
"生命危險",1
"生靈",1
"用戶",1
"由大",1
"由此",1
"由於",3
"申請",1
"目前",5
"目標",2
"矛盾",1
"立委",27
"交叉",3
"交往",1
"交流",1
"交通",2
"仰攻",1
"仲裁",1
"任內",1
"任何人",1
"任務",1
"任期",1
"企業",1
"企圖心",1
"先參",1
"全力以赴",2
"全民",1
"全員",1
"全國",1
"全體",1
"共同",1
"再延",2
"再說",1
"冰山",1
"印章",1
"各界",1
"各個",1
"各家",1
"合作",5
"合法",1
"吊兒",1
"同志",1
"同時",1
"同樣",1
"同屬",1
"名將",1
"回報",1
"回答",1
"回應",4
"回歸",1
"回籠",1
"因此",5
"因素",1
"地方",4
"地說",3
"多人",4
"多少",3
"多年",1
"多次",1
"多利亞",1
"多來",1
"多番",2
"多億元",1
"多數",1
"她們",1
"好大",1
"好事",1
"好事者",1
"好奇",1
"如今",3
"如此",1
"如何",4
"如果",5
"守中",2
"安全",1
"安置",2
"安撫",2
"年來",2
"年底",8
"年前",1
"年輕",2
"年齡",1
"年齡層",3
"成功",1
"成本",1
"成立",1
"成年人",1
"成績",1
"早已",1
"此外",7
"此次",2
"此事",4
"此舉",2
"百萬",1
"老先",1
"老先生",2
"老同事",1
"老李",1
"考量",3
"考慮",3
"而言",1
"而來",1
"自己",9
"自推",1
"至今",3
"至少",1
"至於",8
"行政",2
"行政效率",1
"行政院",7
"行動",1
"行程",1
"估計",1
"伸手",2
"似乎",1
"住宅",3
"何時",1
"何勒",1
"何溢",4
"何溢誠說",1
"作業",1
"別人",1
"努力",2
"即使",3
"即便",1
"否可",1
"否則",2
"否要",1
"否認",3
"否應",1
"吳敦義",5
"呂秀蓮",1
"呂錦茹",10
"呈現",1
"困擾",1
"均屬",1
"完工",1
"完全",3
"完成",4
"局面",2
"局勢",2
"巡視",1
"希望",2
"形成",1
"形象",1
"忍不住",1
"快要",1
"扮演",2
"批判",1
"批評",1
"找到",1
"把關",1
"投入",5
"投下",1
"投票",1
"抗拒",1
"改革",1
"改變",1
"更上一層樓",1
"更加",1
"更好",1
"更高",1
"更會",1
"李佳芬",1
"李昶志",1
"李哲華",3
"李登",1
"李登輝",17
"李義",1
"李錫錕",5
"李錫錕擬",1
"每天",3
"每個",4
"決定",15
"決勝負",1
"決議",1
"沒什麼",2
"沒多久",1
"沒把握",1
"沒電",1
"沒關係",2
"牢牢",1
"良性",1
"見縫插針",1
"角色",4
"角逐",2
"走到",1
"身分",1
"身旁",1
"車遊",1
"那人",1
"那將",1
"那裡",1
"那麼",2
"防磚",2
"並不",1
"並未",3
"並採",1
"事件",2
"事先",1
"事後",2
"事柯",1
"事務",2
"事情",1
"事項",1
"使用",1
"使命",2
"來看",3
"來管",1
"來說",2
"例如",2
"依序",1
"依照",1
"兩岸",10
"兩種",1
"其中",1
"其他",2
"其他人",1
"其次",1
"其實",3
"其邁",2
"具名",2
"初選",39
"協助",1
"協進會",1
"協調",4
"協調會",2
"取得",2
"受到",1
"受訪",4
"受訪者",2
"周日",1
"周美青",1
"周毓翔",1
"呼籲",2
"坦言",2
"坦然",1
"奇怪",2
"奇蹟",2
"妻子",1
"官威",1
"定好",1
"尚未",2
"屆時",1
"延至",1
"延宕",1
"延誤",3
"性別",1
"房時",1
"所以",1
"所需",1
"所謂",2
"承包商",2
"承認",1
"承擔",1
"抱怨",1
"抱歉",2
"抵達",1
"抵價",1
"抽樣",2
"拆遷",2
"拆遷戶",1
"拒答",4
"拒絕",1
"拓寬",1
"拚過",1
"招商",4
"放心",1
"放手一搏",1
"放風聲",1
"放話",3
"於此",1
"明確",3
"明顯",2
"昔日",1
"朋友",3
"服務者",1
"林宏聰",1
"氛圍",1
"治理",1
"泛綠民眾",2
"泛藍",3
"注目",1
"炒熱",1
"爭取",4
"狀況",1
"狀態",2
"玩味",1
"直言",2
"直到",1
"直呼",1
"直接",3
"直爽",2
"直說",1
"直播",1
"知名度",1
"知道",1
"社會",3
"社群",1
"空地",1
"空軍",1
"空降",1
"空間",2
"者則",2
"者眾",1
"花海",5
"花草",1
"表明",1
"表現",2
"表達",3
"表態",12
"近日",1
"近來",2
"近期",1
"返回",1
"邱文祥",3
"阻礙",1
"阿輝伯",1
"阿輝伯挺柯",1
"雨來",1
"青年",3
"非典型",1
"非議",1
"亟需",1
"亮眼",2
"亮點",1
"保證金",3
"信心",2
"冒險",3
"則已",1
"前天",1
"前北市",2
"前往",3
"前將",1
"前進",3
"剎車",1
"勇於",1
"型態",1
"城市",2
"姚文智",9
"宣布",16
"宣傳",1
"度會",1
"建後遷",1
"建構",1
"彥宇",2
"很大",1
"很平",1
"很多",4
"很差",1
