"Var1","Freq"
"一一",1
"一下",6
"一大",4
"一切",2
"一天",7
"一天到晚",2
"一方",1
"一出",4
"一半",5
"一卡通",2
"一去",1
"一句",5
"一旦",4
"一生",1
"一份",1
"一休",1
"一名",1
"一向",1
"一年",1
"一次",5
"一次性",6
"一位",2
"一局",4
"一役",1
"一批",1
"一步",13
"一步棋",1
"一系列",1
"一身",1
"一事",2
"一些",6
"一併",7
"一例",1
"一周",4
"一定",28
"一延",1
"一拖再拖",1
"一直",8
"一段",3
"一段時間",1
"一段路",1
"一看",1
"一致性",1
"一個",25
"一個月",1
"一倫仔",1
"一套",2
"一家親",6
"一座",4
"一旁",1
"一書",1
"一格",1
"一破",1
"一級",1
"一般",1
"一起",16
"一陣子",2
"一隻",2
"一堆",1
"一帶",2
"一張",3
"一處",1
"一連",2
"一場",1
"一期",1
"一番",1
"一項",1
"一塊",2
"一搏",1
"一睹",1
"一路",1
"一較高下",1
"一道",1
"一頓",1
"一種",1
"一樁",1
"一樣",4
"一輩子",2
"一環",1
"一聲",1
"一錘定音",1
"一點",5
"一職",1
"一邊",1
"一黨",1
"一體",1
"七路",1
"了不起",1
"了吧",1
"了解",8
"二不一要",2
"二段",3
"人力",2
"人口",1
"人士",10
"人大",1
"人工智慧",1
"人民",6
"人次",11
"人行",2
"人行道",1
"人事",1
"人呢",1
"人物",9
"人員",4
"人員傷亡",1
"人家",2
"人時",1
"人氣",3
"人接",1
"人視",1
"人開",1
"人煙稀少",1
"人群",4
"人道",2
"人壽",1
"人稱",2
"人認",5
"人數",12
"人潮",4
"人選",33
"人權",2
"人體",1
"入來",1
"入夜後",1
"入場",2
"入園",1
"入選",2
"入關",1
"八成",1
"八百壯士",2
"八段錦",1
"八路",2
"八德",3
"刀口",1
"力保",1
"力挺",3
"力量",15
"十三行",1
"十分",1
"十足",1
"又問",1
"又說",1
"三分之一",1
"三秀",2
"三到",1
"三級",1
"三強",1
"三種",1
"三餐",1
"上下游",1
"上升",1
"上午",6
"上方",1
"上月底",2
"上半部",1
"上台",9
"上任",16
"上次",3
"上作過",1
"上周",1
"上前",1
"上重",1
"上限",1
"上面",1
"上海",1
"上班",4
"上級",1
"上梁不正",1
"上梁不正下梁歪",1
"上期",1
"上給",1
"上街",1
"上傳",1
"上萬元",1
"上路",8
"上漲",1
"上綱",3
"上網",1
"上樓",1
"上線",1
"上賣",1
"上還",1
"下一代",3
"下午",3
"下令",2
"下半年",1
"下去",2
"下台",9
"下旬",1
"下來",4
"下周",2
"下定決心",1
"下個",2
"下個月",1
"下班",1
"下起",1
"下梁",1
"下街",1
"下過",1
"于俊明",1
"凡事",1
"千里",1
"千億元",1
"千餘",1
"口中",1
"口角",1
"口要",1
"口袋",1
"口罩",1
"口號",2
"口說",1
"土土",5
"土地",17
"土地公",3
"土城",4
"士林",2
"士林區",3
"大刀闊斧",1
"大力",2
"大大",1
"大手筆",1
"大方向",1
"大台北",3
"大巨",1
"大多",2
"大多數",1
"大好",3
"大安",4
"大安區",7
"大位",2
"大局",1
"大批",1
"大步",1
"大宗",1
"大法官",1
"大狗",1
"大雨",1
"大型",3
"大型犬",4
"大家",19
"大案",2
"大笑",1
"大眾",3
"大祥",4
"大規模",1
"大陸",12
"大幅",2
"大街",1
"大量",6
"大概",2
"大遊",1
"大運",10
"大團結",1
"大旗",2
"大綠",2
"大腿",3
"大樓",3
"大學",21
"大橘",1
"大選",4
"大錢",1
"大館",1
"大龍峒",2
"大禮",1
"大壞",1
"大彎",1
"大權",2
"女人",1
"女兒",1
"女性",2
"女記",1
"小子",1
"小心",3
"小包",2
"小平",7
"小平端",1
"小平還",1
"小弟",1
"小姐",2
"小朋友",2
"小勇",1
"小巷",1
"小時",8
"小酌",1
"小組",5
"小凱",8
"小綠",2
"小綠之爭",1
"小學生",2
"小錢",1
"山海",1
"山區",2
"山寨",1
"川上",1
"工作",10
"工作坊",1
"工作者",3
"工具",2
"工時",4
"工務局",1
"工商業",2
"工期",1
"工程",7
"工程進度",1
"工資",1
"工廠",6
"已久",1
"已太多",1
"已先",1
"已快",2
"已來",1
"已表",1
"已近",2
"已故",1
"已畫",1
"已經",10
"已預",1
"干擾",1
"才剛",1
"才能",4
"不一",1
"不了了之",1
"不人道",1
"不上",1
"不已",2
"不予置評",1
"不公",2
"不分",4
"不太可能",1
"不少",11
"不止",1
"不以",1
"不可",4
"不失",1
"不必",2
"不必要",3
"不用",5
"不再",6
"不合",3
"不同",14
"不好",3
"不如",4
"不安",1
"不妨",1
"不肖",1
"不良",1
"不見",5
"不見得",1
"不足",1
"不足之處",1
"不佳",3
"不到",5
"不知",2
"不知情",1
"不便",2
"不耐",1
"不要",29
"不息",1
"不拿錢",2
"不料",1
"不租",2
"不能",10
"不能容忍",1
"不配",1
"不高不低",1
"不動產",3
"不夠",3
"不強",2
"不得不",1
"不設",1
"不勝其擾",1
"不勝負荷",1
"不堪",1
"不敢",5
"不曾",1
"不雅觀",1
"不順",1
"不傷",1
"不僅",14
"不僅如此",3
"不僅僅",1
"不會",35
"不溯",1
"不當",7
"不義",1
"不解",1
"不該",2
"不過",35
"不像",2
"不實",1
"不滿",17
"不盡",2
"不盡然",1
"不管",3
"不蓋",2
"不認帳",1
"不熟",1
"不適",1
"不謀而合",1
"不辦",1
"不選",6
"不錯",1
"不還",1
"不斷",5
"不願",5
"不讓",2
"中小",1
"中山",6
"中山站",2
"中午",2
"中心",7
"中央",25
"中央公園",1
"中央政府",4
"中央黨部",2
"中正路",1
"中生代",2
"中共",1
"中老年",1
"中西區",1
"中表",1
"中長期",1
"中青",1
"中信",4
"中前",1
"中南部",1
"中埔山",2
"中區",1
"中國",22
"中國時報",1
"中常會",1
"中暑",1
"中華",1
"中華文化",3
"中華民國",10
"中學生",3
"中環",1
"之一",2
"之下",1
"之中",2
"之友",1
"之心",2
"之私",1
"之初",2
"之夜",1
"之爭",2
"之前",5
"之後",12
"之家",1
"之間",5
"之路",2
"之道",1
"之實",1
"之稱",1
"之語",1
"之際",1
"之戰下",1
"予以",1
"互相",1
"互動",2
"五大",2
"五年",1
"五花八門",1
"什麼",22
"什麼樣",1
"仁愛國中",1
"仇敵",1
"今天",5
"今年",16
"今年初",2
"今後",1
"今還",1
"介入",3
"仍要",2
"仍能",1
"仍偶",1
"仍然",1
"仍會",1
"允許",1
"允諾",1
"元氣",1
"元素",1
"內外",1
"內政",1
"內政部",1
"內政部長",1
"內科",4
"內容",10
"內耗",1
"內能",1
"內連",1
"內部",9
"內湖",6
"內湖區",1
"內裡",1
"內需",2
"公文",2
"公斤",4
"公司",12
"公布",10
"公平",2
"公平正義",1
"公立",3
"公共",6
"公共衛生",1
"公宅",3
"公托",1
"公告",2
"公投",6
"公車",12
"公車站",1
"公里",3
"公帑",1
"公所",1
"公家機關",2
"公務員",2
"公頃",5
"公寓",1
"公然",1
"公開",6
"公開場合",1
"公園",22
"公會",3
"公劃",6
"公管",1
"公辦",1
"公關",1
"六間",1
"凶手",1
"分子",2
"分公司",1
"分多鐘",1
"分成",1
"分別",5
"分局",8
"分局長",6
"分來",1
"分到",1
"分析",2
"分股",2
"分屍",1
"分流",1
"分配",1
"分區",1
"分崩",1
"分崩離析",1
"分眾",1
"分裂",3
"分開",1
"分隊",2
"分會",1
"分道揚",1
"分道揚鑣",1
"分類",2
"分鐘",7
"勾結",1
"化石",1
"升格",1
"升級",1
"午後",1
"友人",1
"友善",3
"友達",1
"反以",1
"反正",1
"反目成仇",1
"反而",1
"反批",1
"反抗",2
"反制",1
"反指",1
"反映",7
"反柯",9
"反柯團",1
"反省",1
"反倒",1
"反問",3
"反感",2
"反對",14
