"Var1","Freq"
"一級",1
"一趟",1
"人脈",2
"大亂鬥",1
"女兒",1
"子弟兵",1
"小英",1
"小覷",1
"不少",1
"不容",1
"不過",1
"不論",1
"中正",3
"支持者",2
"日本",1
"月底",1
"父親",1
"代父",1
"加上",1
"另外",1
"台北",1
"台北市",1
"外界",1
"市議員",1
"打場",1
"本屆",1
"正港",1
"民進黨",7
"瓜分",1
"生到",1
"立委",1
"立法",1
"光環",1
"全前",1
"各半",1
"同一",1
"名號",1
"回台",1
"地方",2
"多出",1
"多達",1
"年級",1
"死忠",1
"老早",1
"行程",1
"余天",1
"余筱萍則",1
"助理",1
"吳沛憶挾",1
"吸引",1
"呈現",1
"局面",1
"投入",1
"李秀環",1
"決定",1
"走出",1
"兒子",1
"初選",3
"承接",1
"抨擊",1
"爭取",2
"空缺",1
"表態",1
"青壯派",1
"前夫",1
"前北",1
"前妻",1
"姚文智",1
"活動",1
"看板",1
"家暴",2
"席加",1
"席次",1
"恐比",1
"祕書",1
"紛紛",1
"退黨",1
"院長",1
"參選",1
"基層",1
"婦女",1
"強棒",1
"掛看",1
"現任",3
"累積",1
"脫穎而出",1
"連任",1
"部分",2
"陰霾",1
"陳彥",1
"堪稱",1
"復仇",1
"最快",1
"登場",1
"發言人",1
"童仲彥",4
"開除黨籍",1
"勢必",1
"意味",1
"搶攻",1
"搶進",1
"新人",3
"新星",1
"萬華",1
"萬華區",2
"預計",1
"嘉銘",1
"對戰",1
"漂亮",1
"綠營",1
"蔡宜",1
"靠爸",1
"儘管",1
"學成",1
"戰區",1
"濃厚",1
"燕珩",1
"選區",1
"選票",2
"選戰",2
"隨處可見",1
"謝昭雄",1
"藍綠",1
"曝光",1
"難度",1
"競選",1
"蘇嘉",1
"蘇緯政",1
"議員",4
