"Var1","Freq"
"一人",1
"一口氣",1
"一不做",1
"一切",1
"一天",1
"一天到晚",1
"一方面",1
"一日",4
"一片",2
"一半",1
"一句",2
"一旦",1
"一同",1
"一年",2
"一成",1
"一早",2
"一百六十",1
"一位",1
"一身",1
"一事",3
"一些",1
"一刻",1
"一坪",4
"一坪換",3
"一定",21
"一板一眼",1
"一直",3
"一前一後",1
"一度",1
"一致",1
"一個",13
"一個月",1
"一套",4
"一家親",1
"一起",1
"一陣",1
"一堆",1
"一帶",1
"一票",1
"一部分",2
"一筆",1
"一意孤行",1
"一搏",1
"一會",1
"一路",1
"一樣",4
"一戰",1
"一點",1
"一齣戲",1
"一覽表",1
"丁守中",106
"丁守忠",3
"丁批",1
"丁僅答",1
"丁說",1
"七日",1
"七月",1
"七年",1
"九十",1
"九年",1
"九成",1
"了解",4
"二人",1
"二十",1
"二十二",1
"二十五",1
"二十五日",3
"二十四",2
"二十四日",1
"二十萬",1
"二三年",1
"二日",1
"二月",1
"二四",1
"二期",1
"人士",1
"人山人海",1
"人民",1
"人均",1
"人來",1
"人物",5
"人家",2
"人格",3
"人氣",1
"人脈",1
"人馬",1
"人數",2
"人潮",1
"人選",15
"人權",1
"八月",1
"八年",1
"力挺韓",1
"力量",8
"力圖",1
"十一",1
"十九",1
"十二",1
"十二日",2
"十二項",2
"十五",2
"十五日",1
"十六日",1
"十日",1
"十四",2
"三人",1
"三十一",2
"三十七",3
"三十五",1
"三中",1
"三天",2
"三月",9
"三月底",2
"三年",5
"三個",1
"三家",1
"三組",1
"三塊",1
"上午",1
"上任",1
"上次",2
"上百年",1
"上個月",1
"上陣",2
"上週",4
"上週五",2
"下午",6
"下屆",2
"下約",1
"下週一",2
"下層",1
"千公頃",1
"千金",1
"千則",3
"口罩",2
"口號",1
"口頭",1
"土地",50
"土地公",2
"士北",13
"士林",2
"士氣受挫",1
"大方",2
"大多",1
"大多數",1
"大好",1
"大老",3
"大家",15
"大案",1
"大專",2
"大幅",1
"大量",1
"大概",1
"大運",1
"大弊",1
"大樓",2
"大鬧天宮",1
"大學",2
"大選",3
"女孩",1
"子弟兵",3
"小平",46
"小平今",2
"小平外",1
"小英",1
"小組",1
"小港",1
"小雞",1
"川普萬",1
"工作",1
"工程",6
"工程進度",2
"已先",2
"已知",1
"已登記",1
"已經",4
"才剛",1
"才能",6
"才講",1
"不了",1
"不太可能",1
"不少",2
"不可思議",1
"不必",1
"不用",1
"不同",2
"不好",4
"不好意思",1
"不作",1
"不利",4
"不足以",1
"不佳",1
"不具",2
"不到",2
"不明",1
"不知情",1
"不致",1
"不要",7
"不能",9
"不高",1
"不得",1
"不得體",1
"不惜",1
"不敢",2
"不然",1
"不僅",1
"不想",1
"不會",26
"不煩",1
"不該",1
"不過",7
"不滿",6
"不算",1
"不管",2
"不論",2
"不適",2
"不選",1
"不錯",1
"不斷",2
"不願",2
"不變",1
"不讓",1
"中心",3
"中心思想",1
"中央",9
"中央公園",2
"中旬",1
"中均",1
"中肯",1
"中非",1
"中國",36
"中曾",1
"中間",1
"中樞",1
"中選會",1
"中繼",1
"之久",1
"之爭",2
"之前",2
"之後",4
"之苦",1
"之間",1
"之說",1
"互打",2
"互相",1
"互動",1
"五人",1
"五十一",1
"五十四",1
"五月",10
"五年",4
"什麼",5
"今天",14
"今天上午",1
"今日",2
"今先",1
"今回",1
"今年",6
"今年底",1
"今早",4
"今批",1
"今起",2
"今語",1
"仍將",1
"仍然",3
"元北捷",1
"元宵節",2
"內部",2
"內湖",5
"內湖區",4
"公司",5
"公布",4
"公平",1
"公平正義",1
"公平性",1
"公正",2
"公共",2
"公佈",1
"公告",8
"公車",3
"公教",1
"公頃",5
"公寓",1
"公開",10
"公開性",1
"公園",1
"公會",1
"公權力",1
"六十五歲",1
"六年",1
"六席",1
"分化",1
"分心",1
"分回",1
"分別",3
"分析",1
"分歧",1
"分裂",2
"分數",2
"分擔",1
"分鐘",3
"卅一日",1
"午時",1
"反之",1
"反而",3
"反柯",2
"反核",2
"反對",7
"反酸",3
"反彈",3
"反應",3
"反覆",2
"反觀",1
"天下大亂",1
"天內",1
"天將",1
"太久",2
"太凶",1
"太多",2
"太差",1
"夫人",1
"幻想",2
"廿七日",1
"廿九日",3
"廿二日",2
"廿日",1
"廿日會",1
"廿歲",1
"引起",1
"引發",7
"引進",1
"心中",1
"心聲",2
"戶籍",1
"手續",1
"扎扎",1
"支持",29
"支持者",6
"文化",1
"文林",1
"方向",1
"方式",7
"方略",1
"日至",1
"日前",11
"日起",1
"日將",1
"日程",1
"日會",1
"月初",5
"月底",9
"月票",6
"比方說",2
"比較",3
"水準",2
"王金平",1
"王榮祥",1
"王鴻薇",4
"王鴻薇則",1
"世代",1
"世居",1
"世界",1
"主打",1
"主任",1
"主委",30
"主持人",3
"主要",2
"主席",13
"主張",10
"主旋律",1
"乏味",1
"仔細",1
"他心",1
"他並",2
"他會",1
"他會朝",1
"他當",1
"他認",2
"他還",2
"代表",9
"代理",4
"以上",36
"以下",1
"以北",1
"以西",2
"以利",1
"以東",1
"以前",4
"以南",1
"以後",4
"出生",2
"出來",6
"出招",1
"出門",1
"出席",5
"出馬",2
"出現",6
"出線",5
"出戰",2
"出爐",43
"加入",36
"加上",2
"加油打氣",1
"加速",2
"包括",6
"包袱",2
"北北基",1
"北市",14
"北投",2
"北捷",1
"北路",1
"北農",4
"卡車",35
"去年",2
"去留",1
"另一方面",2
"另外",2
"只用",1
"只見",1
"只要",5
"只能",2
"只會",3
"只會給",1
"召開",3
"召集人",1
"可以",14
"可用",1
"可行性研究",1
"可供",1
"可能",13
"可惜",1
"可望",1
"可報",2
"台大",11
"台女",35
"台中",1
"台北",42
"台北市",37
"台北市民",2
"台北市長",103
"台南",6
"台灣",9
"右一",1
"右二",1
"司機",35
"四人",2
"四十七",1
"四日",1
"四月",40
"四名",2
"四年",2
"四兩",1
"四萬人",1
"外加",1
"外界",7
"外科",1
"外套",1
"外帶",35
"外傳",7
"失去",1
"失控",2
"失敗者",1
"左一",1
"左二",1
"左右",1
"巨木",1
"巨乳",35
"巨蛋",18
"市民",6
"市府",18
"市府大樓",1
"市長",102
"市政",5
"市計畫",1
"市場",1
"市議員",26
"市議會",2
"市黨部",18
"布局",5
"平台",1
"平常心",1
"平等",2
"平緩",1
"必須",2
"戊戌年",35
"打招呼",2
"打倒",35
"打造",4
"打著",1
"打開",1
"打亂",1
"打算",1
"打轉",1
"打贏",2
"未來",14
"未定",2
"未定之天",1
"未明",1
"未果",1
"未遂",2
"本日",1
"本月",2
"本次",1
"本身",1
"本來",2
"正式",17
"正負",1
"正面",3
"母親",1
"母雞",1
"民主",2
"民法",3
"民航局",2
"民眾",5
"民進黨",80
"民意",6
"民意調查",2
"民調",47
"玄機",1
"瓜分",4
"由於",6
"申請書",1
"白皮書",1
"白色",1
"白衣",2
"目光",1
"目前",32
"目標",4
"矛盾",1
"立刻",1
"立委",63
"立法",1
"立法院",2
"立院",1
"立場",4
"交火",1
"交由",1
"交易",4
"交通",4
"交通部",2
"交換",3
"交集",1
"任內",5
"任何",3
"任遊",1
"休市",1
"先出",1
"先前",5
"先建後遷",2
"先著力",1
"光芹",6
"光復",1
"光榮",1
"全力",5
"全力以赴",1
"全台",1
"全民",3
"全區",1
"全國",1
"全部",2
"全體",1
"共同",1
"共產黨",35
"共識",1
"再來",1
"再度",2
"再將",1
"冰山一角",1
"吃定",1
"各方",1
"各自",2
"各派",1
"各區",1
"各項",1
"各種",1
"各黨",1
"各黨派",1
"合作",7
"合照",8
"合縱連橫",1
"吊兒郎當",1
"同台",1
"同時",1
"同婚",2
"同情",3
"同意",1
"同樂",1
"同樣",6
"同質性",2
"同黨",2
"同屬",1
"名號",2
"向民眾",2
"回到",1
"回答",6
"回應",11
"回顧",1
"因此",7
"因桃",1
"因素",2
"地上",2
"地方",6
"地氣",1
"地說",1
"多人",3
"多少",1
"多方",1
"多只",1
"多次",2
"多位",1
"多於",1
"多個",1
"多場",1
"多番",2
"多萬",1
"多黨",1
"多變",1
"好友",35
"好事",1
"如大",1
"如今",1
"如此一來",1
"如何",4
"如來佛",1
"如果",9
"如獲",1
"安全",6
"安家",3
"安排",4
"安置",8
"年來",1
"年底",17
"年金",2
"年桃機",1
"年終",3
"年輕",2
"年輕人",5
"成功",1
"成年人",1
"成績",1
"收入",1
"收服",1
"早上",1
"早已",1
"早會",1
"早餐",1
"朱立倫",4
"此外",6
"此事",4
"此項",1
"死忠",1
"百分點",1
"老人",1
"老兄",1
"老房子",1
"老朋友",1
"老師",1
"老闆",1
"老舊",2
"考券",1
"考紀",1
"考量",4
"考慮",3
"而已",1
"而言",1
"自己",33
"自由電子",35
"自身",1
"自家",1
"自家人",1
"自推",1
"自提",1
"自評",3
