"Var1","Freq"
"一九九八年",1
"一二年",1
"一人",3
"一八",2
"一五",1
"一句",1
"一旦",2
"一任",1
"一份",1
"一同",1
"一年",8
"一位",3
"一局",1
"一步",2
"一事",5
"一事無成",2
"一些",7
"一定",22
"一直",7
"一個",20
"一個月",3
"一家親",11
"一席",1
"一旁",2
"一級",1
"一起",5
"一副",1
"一票",4
"一連串",1
"一部",2
"一部分",3
"一路",1
"一種",1
"一樣",8
"一趟",1
"一戰",1
"一舉",1
"一點",2
"一邊",1
"一覽表",1
"一灘",1
"丁今",2
"丁回",4
"丁守中",201
"丁近",1
"丁則",1
"丁僅",1
"丁認",3
"丁說",5
"丁還",1
"七月",1
"七四",1
"七年",1
"七成",3
"七個",1
"七家",1
"七堵",3
"九十",1
"了二",1
"了不起",3
"了連",1
"了嗎",1
"了解",4
"二人",1
"二十二名",1
"二百多萬",1
"二階",1
"二擇",1
"人人自危",1
"人力資源",2
"人士",12
"人才",3
"人去",1
"人民",2
"人均",1
"人事",3
"人事處",2
"人來",1
"人物",6
"人要",1
"人員",1
"人家",8
"人格特質",2
"人氣",4
"人馬",1
"人話",2
"人數",13
"人選",37
"人還",1
"人權",3
"入鏡",3
"八方",1
"八字",1
"力求",1
"力保",2
"力氣",1
"力量",8
"十一月",1
"十五日",1
"十分",3
"十幾",1
"又問",1
"三人",1
"三十",1
"三千",1
"三方",1
"三立",1
"三年",6
"三成",3
"三百五十",2
"三百多",1
"三足鼎立",3
"三重",2
"三個",1
"三家",1
"三國鼎立",1
"三張",1
"三強",3
"三萬",1
"上升",4
"上午",4
"上用",1
"上任",2
"上忙",1
"上次",4
"上百",1
"上來",2
"上屆",2
"上要",1
"上述",2
"上班",1
"上強",2
"上演",1
"上線",2
"下午",10
"下文",1
"下去",1
"下屆",2
"下降",4
"下週",3
"下週一",2
"下滑",3
"口號",1
"土地",63
"士林",1
"士林區",4
"士氣",2
"大力",3
"大方",1
"大同區",1
"大多",1
"大批",2
"大佳",1
"大使",2
"大到",1
"大於",1
"大門口",4
"大洲",1
"大家",15
"大逆轉",1
"大眾",2
"大規模",1
"大部分",1
"大陸",1
"大勝",1
"大幅",2
"大隊人馬",3
"大意",1
"大感",1
"大運",2
"大罵",1
"大學",3
"大賽",1
"大觀",3
"子弟兵",1
"子虛",1
"寸土寸金",2
"小平",1
"小吃",1
"小英",1
"小時候",2
"小贏",1
"小黨",1
"山莊",1
"工作",2
"工會",2
"工業",1
"已成定局",1
"已將",1
"已經",11
"干預",1
"才能",6
"不分",2
"不太",1
"不少",5
"不以",1
"不去",3
"不可",2
"不必",1
"不用",2
"不再",3
"不同",1
"不多",1
"不好",1
"不如",2
"不如歸去",1
"不利",1
"不忍心",1
"不改",1
"不攻自破",1
"不足",1
"不佳",3
"不來",5
"不到",5
"不放",1
"不服氣",2
"不知",1
"不派",2
"不相",1
"不要",4
"不料",1
"不時",1
"不能",5
"不高",2
"不夠",2
"不清",1
"不爽",1
"不敢",2
"不然",2
"不痛不癢",1
"不僅",4
"不想",1
"不會",41
"不該",2
"不過",21
"不像",4
"不滿",3
"不管",2
"不認",1
"不需",1
"不錯",2
"不斷",4
"不藍不綠",1
"不辭",1
"不願",1
"中午",5
"中心",2
"中央",8
"中央委員",2
"中央政府",1
"中央黨部",4
"中正",1
"中肯",2
"中國",65
"中執",1
"中常會",1
"中曾",1
"中華民國",3
"中間",23
"中道",1
"之一",2
"之下",1
"之外",1
"之位",1
"之爭",1
"之前",3
"之間",5
"之路將",1
"之戰",1
"互相",2
"互相合作",1
"互動",1
"五五波",1
"五月",1
"五年",1
"五成",5
"什麼",19
"今中",1
"今天",24
"今天上午",4
"今天下午",5
"今日",5
"今年",4
"今早",2
"今將",2
"仍持",1
"仍然",1
"元還",2
"內容",1
"內參",1
"內部",5
"內湖",1
"內幕",1
"內憂",2
"公斤",1
"公司",1
"公共",2
"公共政策",1
"公宅",2
"公車",1
"公帑",3
"公務",1
"公務人員",2
"公務員",6
"公開",7
"公園",7
"公職人員",1
"六十三",1
"六十萬",2
"六年",2
"六成",3
"六位",1
"冗事",3
"分工",1
"分手",12
"分身",2
"分析",8
"分食",1
"分院",1
"分裂",3
"分開",2
"分際",1
"切割",1
"化解",2
"卅三",2
"卅日",1
"卅多局",1
"升至",1
"升級",1
"升學率",2
"友柯民代",1
"反而",6
"反空污",1
"反映",3
"反柯",6
"反省",2
"反倒",1
"反核食",1
"反問",6
"反深",9
"反誇",1
"反對",11
"反彈",4
"反虧",1
"反觀",1
"天方夜譚",1
"天母",2
"天將",2
"天賦",1
"太多",4
"太高",5
"太強",2
"太貴",2
"少個",1
"尤其",5
"廿七",3
"廿六日",1
"廿年",1
"引起",2
"引發",2
"心上",1
"心血",1
"心情",1
"心結",3
"心愛",1
"心瑜",2
"心態",2
"手中",5
"手段",1
"支付",1
"支出",2
"支持",40
"支持者",21
"支持率",3
"支援",2
"文化",1
"文玲",2
"文教",3
"文創",1
"文傳",3
"文說",2
"方向",2
"方式",11
"方便",1
"方面",4
"方賓照",3
"日本",1
"日前",12
"日後",3
"日益",1
"日常",2
"日照",2
"日經",1
"月底",2
"月票",12
"比人強",1
"比不上",1
"比率",1
"比照",1
"比較",20
"水果",1
"火車站",3
"火花",2
"父親",1
"牛棚",2
"王定",1
"王定宇",3
"王金平",1
"王浩",1
"王榮祥",1
"王燕",3
"世代",2
"世界",1
"世新",1
"主打",1
"主任",2
"主攻",1
"主委",4
"主帥",1
"主持人",5
"主政",1
"主政者",1
"主要",2
"主計長",1
"主席",19
"主秘",1
"主張",7
"主辦",4
"主題",3
"乍看",1
"他並",1
"他明",1
"他則",1
"他剛",1
"他會",3
"他認",8
"他講",1
"付出",1
"代表",12
"代理人",2
"令人",1
"令反",1
"以上",65
"以下",6
"以外",1
"以免",3
"以別",1
"以往",1
