"Var1","Freq"
"一一",2
"一九",1
"一九九八年",1
"一九六",1
"一二",7
"一二年",1
"一二位",1
"一人",3
"一三",1
"一下",16
"一下子",1
"一千元",1
"一千多個",1
"一口",2
"一口氣",1
"一大",5
"一大步",1
"一大堆",3
"一大跳",1
"一小",1
"一小部分",1
"一中",2
"一切",11
"一天",4
"一天兩天",1
"一天到晚",1
"一戶",1
"一扎",1
"一方面",2
"一日",5
"一月",5
"一月份",1
"一月底",2
"一毛錢",4
"一片",3
"一代",2
"一出",1
"一包",2
"一半",7
"一句",12
"一台",2
"一旦",2
"一本",1
"一生",2
"一任",2
"一份",2
"一再",1
"一同",19
"一名",5
"一向",3
"一字",1
"一年",8
"一年一度",1
"一年級",3
"一早",2
"一次",18
"一次性",6
"一百",4
"一百五十",1
"一百年",1
"一百萬元",1
"一行",1
"一串",1
"一位",5
"一局",1
"一把",5
"一步",8
"一步棋",1
"一沉",1
"一系列",2
"一言一行",1
"一事",18
"一些",12
"一併",3
"一到",1
"一味",2
"一定",59
"一屆",1
"一波",1
"一波南",1
"一波要",1
"一直",31
"一巷",2
"一度",10
"一段",1
"一段時間",3
"一流",1
"一看",4
"一致",4
"一致性",2
"一郎",1
"一個",93
"一個月",7
"一個多",1
"一個個",1
"一員",1
"一家",2
"一家親",23
"一席",3
"一席話",1
"一座",5
"一旁",6
"一時",4
"一根",1
"一案",1
"一桌",1
"一站",5
"一級",1
"一般",17
"一起",17
"一陣",5
"一隻",2
"一問之下",1
"一國",3
"一國兩制",1
"一堆",2
"一帶",3
"一張",15
"一條",7
"一眼",1
"一票",1
"一組",1
"一聊",1
"一連串",2
"一部",4
"一部分",10
"一圍",1
"一場",4
"一幅",1
"一期",2
"一筆",4
"一視同仁",1
"一間",1
"一項",6
"一搏",1
"一會",3
"一群",2
"一腳",1
"一萬",1
"一萬五千多",1
"一萬戶",1
"一萬多名",1
"一萬兩千",1
"一號",9
"一路",6
"一遍",3
"一團",4
"一種",6
"一算光",1
"一語",1
"一億",1
"一層",1
"一層樓",1
"一樓",2
"一樣",37
"一碼",4
"一輛",1
"一輩子",1
"一輪",1
"一橋",1
"一環",1
"一聲",2
"一點",11
"一邊",4
"一覽表",2
"一聽",1
"一體",9
"七人",1
"七十二",1
"七十五年",1
"七三",1
"七千",1
"七千四百",1
"七五",2
"七戶",1
"七日",1
"七月",2
"七年",2
"七條",4
"七處",2
"九七",1
"九二",14
"九千",1
"九五",1
"九日",9
"九月",3
"九月初",1
"九四",1
"九件",1
"九年",2
"九成",3
"九百個",1
"九所",3
"九個",4
"九校",2
"了不得",1
"了吧",2
"了傷",2
"了嗎",3
"了解",46
"了還",2
"了繳",1
"二七",1
"二二",3
"二二八",3
"二八",1
"二十二",1
"二十二日",1
"二十四日",1
"二十億元",2
"二三公里",1
"二五",4
"二元",1
"二分法",1
"二戶",1
"二日",1
"二月",7
"二名",1
"二度",1
"二段",1
"二時",1
"二氧化碳",1
"二週",1
"二萬戶",1
"二號",4
"二號機",1
"二路",3
"二樓",4
"二橋",1
"人人",1
"人力",2
"人口",6
"人士",50
"人工",5
"人才",8
"人才濟濟",1
"人心思變",1
"人文",3
"人比",1
"人王",2
"人本",1
"人民",32
"人民團體",1
"人犯",1
"人生",4
"人白",1
"人向",2
"人因",1
"人次",3
"人行道",9
"人秀出",1
"人身安全",1
"人身攻擊",2
"人事",14
"人來",4
"人命",1
"人物",16
"人花",1
"人則",1
"人要",9
"人要去",5
"人們",2
"人員",34
"人家",11
"人格",1
"人氣",17
"人真",1
"人馬",1
"人現",1
"人富",1
"人渣",2
"人虛",1
"人須",1
"人想",1
"人當",1
"人群",1
"人像",1
"人嘛",1
"人管",3
"人認",2
"人際",1
"人數",2
"人潮",4
"人選",39
"人頭",1
"人牆",1
"人臉",5
"人舉",1
"人還",1
"人權",3
"入口",1
"入主",1
"入台",6
"入住",4
"入法",1
"入席",1
"入園",1
"入境",13
"入閣",1
"入學",5
"入聯",4
"八九",1
"八十二",1
"八十五",1
"八大",1
"八五",3
"八戶",1
"八月",3
"八代",1
"八年",4
"八百壯士",62
"八個",1
"八家",3
"八時",1
"八掛",1
"八歲",1
"刁難",5
"力保",3
"力挺",3
"力推",2
"力量",28
"力邀",1
"十一天",1
"十一日",1
"十一月",2
"十一屆",1
"十一樓",2
"十七條",1
"十九日",3
"十二",5
"十二日",1
"十二月",5
"十二年",1
"十二家",1
"十二項",1
"十八日",1
"十三",2
"十三日",2
"十五",3
"十五戶",1
"十五家",2
"十五萬",1
"十六",4
"十六名",2
"十六家",1
"十六條",3
"十分",5
"十分困難",1
"十分激烈",1
"十分鐘",1
"十日",1
"十月",1
"十四",2
"十四件",1
"十名",1
"十多年",3
"十多次",1
"十字星",2
"十年",5
"十年磨一劍",1
"十所",1
"十個",1
"十幾人",1
"十餘名",1
"十點",2
"又把",2
"三一八",5
"三九",1
"三二",1
"三十",2
"三十三",1
"三十分鐘",4
"三十日",1
"三十年",1
"三千元",1
"三大",2
"三大外",2
"三五",1
"三六",1
"三分之一",1
"三分之二",1
"三反",1
"三天",7
"三戶",2
"三日",5
"三月",9
"三月底",1
"三代",1
"三四",3
"三立",2
"三件",1
"三名",2
"三年",9
"三成",1
"三次",1
"三百",2
"三百五十",1
"三到",2
"三房",1
"三采",1
"三段",1
"三重",2
"三個",2
"三家",1
"三席",1
"三張犁",3
"三處",3
"三期",1
"三番兩次",4
"三項",1
"三歲",1
"三萬元",1
"三種",1
"三聲",1
"上千",2
"上大開",1
"上午",56
"上方",2
"上月底",2
"上去",2
"上台",3
"上市",3
"上任",33
"上次",11
"上車",5
"上並",1
"上周",3
"上東",2
"上前",1
"上怒",1
"上述",1
"上限",4
"上面",13
"上海",35
"上海市",8
"上班",4
"上班族",1
"上級",1
"上馬",1
"上訪",1
"上場",1
"上游",9
"上策",1
"上週",13
"上週五",2
"上週四",1
"上開",1
"上傳",1
"上路",2
"上電台",4
"上滿",1
"上漲",1
"上稱",1
"上綱",1
"上網",6
"上稿",1
"上線",4
"上課",2
"上頭",4
"上舉",1
"上還",1
"上鎖",1
"下一波",1
"下午",39
"下方",7
"下令",14
"下半年",1
"下去",4
"下句話",1
"下台",4
"下列",1
"下旬",2
"下次",4
"下車",1
"下來",10
"下屆",2
"下星期",1
"下降",4
"下面",1
"下個",3
"下個月",1
"下班",1
"下起",1
"下游",11
"下跌",1
"下週",5
"下週一",1
"下鄉",6
"下滑",4
"下較",1
"下載",1
"下達",1
"下標",1
"下課",2
"下談",1
"下戰",1
"丸湯",2
"久久",1
"乞丐",1
"千人春",1
"千下",2
"千千",3
"千名",2
"千字文",1
"千萬",3
"千億元",1
"千錯",1
"口不擇言",1
"口中",1
"口水",5
"口水戰",5
"口吃",1
"口吻",1
"口角",1
"口述",3
"口風",2
"口掛",1
"口袋",3
"口號",1
"口語化",1
"口頭",1
"土地",278
"土地法",1
"土坡",2
"土匪",1
"土壤",2
"士北共",1
"士北科",1
"士東",4
"士林",16
"士林區",4
"士氣",1
"士農工商",1
"大人",1
"大刀闊斧",2
"大力",1
"大川",2
"大不大",1
"大不相同",1
"大中至正",1
"大屯",2
"大方",1
"大可",1
"大台北",1
"大同",2
"大同區",1
"大多",4
"大多數",3
"大好",2
"大安",2
"大安區",1
"大老",7
"大位",2
"大忌",1
"大批",6
"大言不慚",1
"大使",1
"大到",1
"大受",1
"大呼",1
"大宗",1
"大於",1
"大法",1
"大法官",1
"大直",1
"大門",14
"大雨",2
"大非",1
"大型",2
"大城",1
"大城市",1
"大洲",1
"大約",3
"大致",1
"大哥",1
"大家",76
"大家庭",1
"大展",2
"大案",2
"大浪",1
"大珠小珠落玉盤",1
"大笑",4
"大國",7
"大專院校",16
"大眾",13
"大規模",1
"大部分",3
"大陸",8
"大喊",1
"大富翁",1
"大幅",9
"大港",6
"大猩猩",5
"大筆",1
"大量",6
"大開",3
"大愛憲改",1
"大會",9
"大概",13
"大罪",1
"大路",4
"大運",21
"大道",11
"大旗",14
"大維",9
"大慶",4
"大樓",7
"大稻",5
"大罵",3
"大學",33
"大學校長",2
"大學教授",1
"大戰",1
"大橋",4
"大選",9
"大聲",3
"大舉",1
"大賽",5
"大禮",1
"大壞",2
"大關",1
"大彎",1
"大廳",1
"女子",2
"女方",1
"女生",1
"女性",4
"子女",1
"子欣",2
"子虛",1
"子維並",1
"子彈",7
"小三",1
"小小",3
"小巴",5
"小心",6
"小包",3
"小平",8
"小平認",1
"小吃",1
"小吃店",17
"小坪",3
"小坪數",2
"小姐",1
"小店",1
"小於",3
"小朋友",9
"小油",1
"小肥",7
"小肥要",1
"小金庫",1
"小門",7
"小便",2
"小孩",3
"小巷子",1
"小英",1
"小時",16
"小班",1
"小組",1
"小鳥",1
"小凱",1
"小媛",3
"小猩猩",2
"小劇場",2
"小學",3
"小貓",1
"小戴",1
"小聲",2
"小額",4
"小黨",1
"山上",4
"山妍",1
"山居",1
"山河",1
"山區",9
"川好",3
"川普",3
"工人",3
"工地",2
"工安",1
"工作",22
"工作人員",1
"工具",3
"工法",8
"工法涉",1
"工務",4
"工務局",5
"工商",1
"工將",1
"工處",1
"工場",2
"工期",2
"工程",36
"工程局",4
"工程建設",1
"工程設計",2
"工程款",1
"工程隊",5
"工業",1
"工廠",20
"已交北農",1
"已先",1
"已向",1
"已向北",1
"已成",4
"已早",1
"已決",2
"已放話",1
"已於",1
"已故",1
"已約",1
"已將",1
"已然",1
"已著手",1
"已損",1
"已經",59
"已幫",2
"已屬",1
"干預",1
"干擾",6
"才剛",1
"才能",19
"不一",3
"不了",5
"不久",1
"不口",1
"不小",1
"不予",4
"不予置評",1
"不公",1
"不分",7
"不太",3
"不太好",1
"不太會",1
"不少",18
"不支",2
"不止",1
"不乏",3
"不以",4
"不可",5
"不可思議",4
"不必",2
"不必要",1
"不甘示弱",1
"不用",11
"不用浪費",2
"不再",15
"不合",3
"不合時宜",1
"不合理",4
"不合邏輯",1
"不同",37
"不向",1
"不多時",1
"不好",8
"不好意思",2
"不如",6
"不如歸去",1
"不存",1
"不安",1
"不成",1
"不收",3
"不自",1
"不至於",2
"不行",5
"不利",2
"不妥",1
"不忘向",1
"不決",1
"不良",2
"不見",1
"不見得",3
"不足",7
"不佳",4
"不佳下",1
"不具",1
"不到",17
"不受",3
"不定期",1
"不怕",2
"不易",2
"不服",1
"不服輸",1
"不知情",3
"不便",4
"不急",4
"不看",2
"不要",96
"不負責任",1
"不限",1
"不准",4
"不容",1
"不容許",1
"不差",1
"不悅",1
"不料",5
"不時",1
"不能",43
"不能轉讓",1
"不能證實",1
"不假思索",1
"不停",1
"不動產",1
"不參",1
"不夠",5
"不得",3
"不得不",1
"不清",11
"不爽",6
"不理",2
"不符",12
"不設",2
"不堪回首",5
"不換",1
"不敢",12
"不然",7
"不等",1
"不答",1
"不給",1
"不著",1
"不僅",14
"不想",21
"不慎",1
"不會",139
"不當",4
"不解",3
"不該",5
"不誠實",1
"不過",62
"不像",2
"不像現",1
"不實",3
"不滿",40
"不盡",3
"不盡相同",2
"不算",2
"不管",18
"不認",4
"不說",1
"不需",1
"不領",1
"不論",12
"不適",4
"不謀而合",1
"不選",2
"不選黨",1
"不錯",8
"不懂事",1
"不應",7
"不講",1
"不斷",22
"不歸",1
"不難",4
"不願",6
"不變",2
"不讓",5
"中一",3
"中山",23
"中山南路",4
"中山站",1
"中午",5
"中心",19
"中方",3
"中止",1
"中央",84
"中央公園",1
"中央委員",3
"中央社",2
"中央政府",6
"中正",12
"中生代",2
"中立",3
"中立性",1
"中先",1
"中共",15
"中年",1
