"Var1","Freq"
"一二八",3
"一上台",1
"一下",2
"一千",2
"一千五百元",1
"一口",1
"一大早",2
"一中",3
"一五",2
"一分",1
"一切",118
"一反常態",2
"一天",9
"一天到晚",2
"一支",2
"一方面",1
"一日",1
"一比",2
"一出",1
"一出場",1
"一半一半",1
"一卡通",1
"一句",4
"一台",1
"一同",7
"一名",7
"一向",6
"一年",7
"一早",1
"一次",3
"一次性",1
"一百五十",1
"一百五十萬元",1
"一百元",1
"一位",7
"一批",1
"一角",2
"一事",5
"一事無成",1
"一併",1
"一來",1
"一到",1
"一定",23
"一直",9
"一度",4
"一律",1
"一段",2
"一段時間",1
"一致",4
"一面倒",1
"一個",20
"一個月",1
"一哭",1
"一家人",1
"一家親",9
"一席",1
"一旁",2
"一時",1
"一桌",6
"一級",1
"一般",4
"一起",21
"一乾二淨",2
"一帶",1
"一張",1
"一眼",1
"一貫",1
"一連串",1
"一部分",1
"一場",2
"一期",1
"一間",1
"一項",2
"一搏",1
"一群",2
"一萬兩",1
"一路",3
"一道",1
"一對一",2
"一滴",2
"一種",6
"一樣",8
"一瓢",1
"一頭",2
"一點",3
"一點半",2
"一變",1
"一驚回",2
"丁丁",1
"丁守中",47
"丁則",1
"丁說",2
"七年",1
"七成",3
"七個",1
"七點",3
"九人",1
"九日",2
"九月",1
"九成",1
"九歲",1
"了不起",1
"了嗎",3
"了解",16
"二二八",10
"二十一日",1
"二十二",1
"二十二日",2
"二十八",1
"二十八萬",1
"二十年",1
"二分之一",1
"二日",7
"二百",1
"二百五",1
"二度",3
"二柯",1
"二鬧",1
"二機",12
"人口",3
"人士",35
"人山人海",1
"人才",4
"人比",1
"人民",7
"人行道",2
"人作",1
"人來",2
"人來戰",1
"人物",13
"人則",1
"人活",1
"人要給",1
"人員",2
"人家",9
"人氣",1
"人參",2
"人情",2
"人勝選",1
"人渣",1
"人發",7
"人給",2
"人想",3
"人會",1
"人當",1
"人管",3
"人數",11
"人潮",2
"人選",83
"人舉牌",1
"人權",1
"入廟",1
"入關",3
"入黨",1
"八十年",1
"八年",4
"八成",3
"八百壯士",1
"八卦",3
"八點",2
"刁難",2
"力爭上游",1
"力挺",13
"力量",9
"力戰",1
"十一月",1
"十二月",1
"十分",2
"十分鐘",1
"十四名",1
"十年",1
"又問",1
"三七",1
"三人",1
"三十分",1
"三十分鐘",1
"三十萬",1
"三下",1
"三分",2
"三天",1
"三月",6
"三月初",1
"三民路",1
"三立",4
"三年",6
"三次",1
"三足鼎立",5
"三芝",2
"三個",1
"三家",1
"三張犁",2
"三強",1
"三萬人",2
"三號",1
"三種",1
"三億人",1
"三點",1
"三讀",2
"三讀通過",2
"上午",28
"上去",1
"上台",9
"上任",5
"上吊",1
"上次",2
"上衣",1
"上來",1
"上屆",2
"上林",1
"上述",1
"上海",3
"上班",2
"上訪",1
"上報",1
"上街",3
"上週",1
"上萬",1
"上演",1
"上稿",1
"上頭",1
"下一題",1
"下午",42
"下去",2
"下台",11
"下旬",1
"下次",1
"下來",4
"下到",3
"下周",2
"下屆",5
"下班",1
"下班時間",1
"下週一",1
"千戶",1
"千則",2
"千萬",1
"口紅",1
"口號",3
"土地",116
"士官",1
"士林",1
"士林區",1
"大人物",1
"大方向",1
"大半",1
"大吉大利",1
"大同區",2
"大多",4
"大老",2
"大串聯",1
"大尾",1
"大於",1
"大表",1
"大門",1
"大哉問",1
"大型",5
"大軍",1
"大哥大",1
"大家",67
"大案",2
"大笑",6
"大逃殺",1
"大排場",2
"大部分",2
"大勝",1
"大喊",2
"大幅",2
"大幅提高",1
"大量",1
"大隊",1
"大概",1
"大遊",3
"大運",7
"大道",2
"大聚會",1
"大閨女",2
"大劇",1
"大稻",1
"大罵",2
"大學",2
"大學校長",1
"大戰",2
"大輸",2
"大選",8
"大頭",1
"大龍峒",3
"大聲",4
"大贏",3
"女人",2
"女性",1
"子弟兵",3
"子紀",1
"子彈",1
"小平",8
"小平先",1
"小孩子",1
"小時",1
"小編",1
"小雞",2
"小覷",1
"山海關",4
"山區",10
"工安",1
"工作",11
"工者",2
"工程",1
"工程隊",1
"工嗎",1
"工資",2
"已成",1
"已來",2
"已於",1
"已經",22
"已過",1
"已獲",5
"已講",1
"才行",1
"才能",8
"才過",1
"不了",2
"不下",1
"不大",4
"不小",2
"不予",1
"不公",1
"不分",2
"不少",12
"不以",3
"不出",1
"不去",1
"不可",2
"不可思議",1
"不平",1
"不必",4
"不用",7
"不再",1
"不同",12
"不向",1
"不多",3
"不好",10
"不好過",1
"不如",2
"不守",1
"不成文",1
"不死",1
"不自提",1
"不利",3
"不見",1
"不走",1
"不足",2
"不佳",1
"不來",2
"不到",4
"不受",1
"不定期",1
"不怕",2
"不知",7
"不知情",3
"不肯",1
"不便",1
"不相上下",2
"不相往來",1
"不耐",1
"不要",33
"不降",1
"不容",1
"不弱",1
"不能",21
"不配",2
"不高",1
"不停",1
"不唱",1
"不夠",9
"不強",3
"不得",4
"不提",1
"不敢",4
"不然",7
"不答",1
"不給",1
"不亂一",1
"不僅",8
"不想",1
"不愛回",2
"不會",49
"不準",1
"不當",1
"不聘管",1
"不該",1
"不過",27
"不像",1
"不對",1
"不滿",16
"不管",7
"不需",1
"不瞎",1
"不論",2
"不戰",1
"不輸",1
"不錯",2
"不應",2
"不斷",2
"不斷擴大",1
"不願",7
"不變",1
"不讓",3
"中山",1
"中午",5
"中心",2
"中央",13
"中央社",1
"中央黨部",1
"中正",15
"中先",1
"中共",2
"中則",1
"中南部",2
"中秋節",1
"中涉",1
"中國",240
"中將",1
"中常會",1
"中途",2
"中期",1
"中等",1
"中華",2
"中華民國",7
"中間",3
"中閔",1
"中嗆",1
"之一",5
"之力",2
"之下",2
"之子",1
"之子陳彥",1
"之中",2
"之名",2
"之多",1
"之作",1
"之所以",1
"之爭",1
"之前",3
"之後",12
"之旅",1
"之處",1
"之間",2
"互助",1
"互相",3
"互動",3
"五一勞動節",2
"五十八",1
"五千",1
"五大",3
"五五波",2
"五月",13
"五月份",1
"五年",1
"五百",4
"五百元",2
"五百萬元",2
"五星",4
"五張",1
"什麼",18
"什麼樣",1
"仁愛路",2
"仇人",3
"今天",43
"今天上午",14
"今天下午",7
"今日",1
"今年",11
"今早",11
"今則",1
"今晚",3
"今發布",1
"今開",1
"介入",1
"介紹",2
"仍未解",2
"仍存",2
"仍然",1
"允許",1
"元大",1
"元多",1
"元首級",1
"元氣",2
"元素",1
"元募",1
"內心",1
"內外",1
"內地",1
"內政",1
"內政部",5
"內政部長",1
"內英派",1
"內容",7
"內部",1
"內湖",5
"內湖區",1
"內應",2
"公尺",5
"公斤",3
"公司",5
"公布",40
"公平",3
"公正",1
"公立",2
"公共",4
"公共安全",6
"公共政策",1
"公共場所",1
"公安",1
"公佈",2
"公告",1
"公投",2
"公車",3
"公教人員",1
"公頃",1
"公然侮辱",1
"公開",18
"公園",11
"公路",2
"公墓",1
"公職",4
"公關",2
"公聽會",1
"六十個",1
"六日",1
"六月",2
"六年",2
"分別",7
"分局",1
"分貝",1
"分到",1
"分析",11
"分歧",1
"分流",1
"分配",1
"分裂",7
"分開",1
"分際",4
"分鐘",4
"切身",1
"勾引",1
"化石",1
"化成",1
"化身",1
"化解",3
"午宴",2
"友人",1
"友友",1
"友好",3
"友柯",2
"友情",3
"友善",2
"反年",1
"反成",1
"反而",1
"反批",1
"反其道",2
"反映",2
"反柯",31
"反柯上",1
"反柯大",5
"反背",2
"反問",8
"反感",1
"反對",9
"反酸",1
"反彈",14
"反蔡",1
"反諷",1
"反擊",1
"反證",1
"反譏",1
"反觀",2
"天上聖母",8
"天下",2
"天下烏鴉一般黑",1
"天天",1
"天氣",1
"天將",4
"天會",1
"天橋",1
"天翻地覆",1
"太大",1
"太子參",1
"太小",1
"太平洋",1
"太多",2
"太多人",1
"太早",1
"太油",1
"太真",1
"太遠",1
"少年",2
"少數",1
"廿七",2
"廿七日",2
