"Var1","Freq"
"一人",2
"一人要",1
"一上台",1
"一下",1
"一下子",1
"一大",1
"一大早",1
"一元復始",1
"一分",1
"一切",3
"一天",3
"一戶",1
"一手",1
"一支",3
"一日",7
"一月",3
"一毛錢",1
"一片",1
"一出",1
"一句",2
"一旦",3
"一件",6
"一任",1
"一再",1
"一同",10
"一名",2
"一年",6
"一早",2
"一次",8
"一位",11
"一局",1
"一步步",1
"一身",3
"一事",3
"一事無成",3
"一些",6
"一併",1
"一兩天",1
"一周",2
"一坪",45
"一坪加",1
"一坪作",2
"一坪換",57
"一坪還",1
"一定",29
"一直",10
"一股",1
"一度",3
"一流",2
"一秒鐘",1
"一致",1
"一面",1
"一個",32
"一個多月",2
"一宮廟",1
"一家",1
"一家人",1
"一家親",1
"一旁",1
"一時",3
"一般",1
"一起",10
"一陣",1
"一區",1
"一組",2
"一貫",1
"一場",3
"一等一",1
"一搏",1
"一搶而空",1
"一路",2
"一對一",4
"一慣",1
"一種",3
"一說",1
"一審",1
"一樓",2
"一樣",17
"一盤",1
"一輪",3
"一戰",1
"一點",4
"一點多",1
"一籌",1
"一齣戲",1
"一覽無遺",1
"一攤",1
"丁丁",1
"丁守中",229
"丁說",1
"七十歲",1
"乃至",1
"九二",3
"九成",2
"九屆",1
"九個",1
"九樓",2
"了解",13
"了點",1
"二二八",2
"二十四位",1
"二樓",2
"二戰時期",1
"人人",1
"人力",1
"人士",10
"人才",1
"人才濟濟",2
"人中",1
"人世",1
"人民",10
"人生",1
"人多",4
"人到",1
"人性",2
"人物",4
"人員",16
"人家",2
"人氣",6
"人脈",1
"人馬",4
"人問",1
"人情債",1
"人莞",1
"人認",2
"人數",9
"人潮",1
"人選",62
"八年",2
"八卦山",1
"八屆",2
"八點",1
"力挺",2
"力推",1
"力量",12
"力勸",1
"十一",2
"十九人",1
"十二屆",1
"十三屆",1
"十五日",1
"十分",2
"十日",1
"十年",1
"十倍",1
"十時",1
"十幾年來",1
"十萬份",1
"丈夫",1
"三人",2
"三人將",1
"三十一日",1
"三分",1
"三月",3
"三月初",5
"三市",1
"三名",1
"三年",4
"三足鼎立",2
"三度",1
"三個",1
"三家",1
"三國",1
"三強",5
"三項",1
"上下班",1
"上午",40
"上北市",1
"上台",2
"上任",2
"上次",4
"上並",1
"上周五",1
"上屆",3
"上前",4
"上面",1
"上香",1
"上班",1
"上班族",1
"上勝柯",1
"上演",1
"上課",1
"上頭",1
"下午",3
"下去",2
"下台",7
"下列",1
"下旬",1
"下次",2
"下來",1
"下約",2
"千戶",2
"千方百計",1
"口水",2
"口水戰",1
"口號",8
"口頭上",1
"土生土長",1
"土地",7
"士林",4
"士林區",3
"士氣",2
"大不相同",1
"大台北",1
"大地",2
"大多",1
"大多數",2
"大安",2
"大年初一",11
"大老",1
"大位",2
"大於",7
"大直",1
"大型",3
"大洲",4
"大約",1
"大修",1
"大宮",2
"大家",24
"大家庭",1
"大陣",3
"大眾",1
"大規模",2
"大陸",7
"大幅",5
"大菜",1
"大街",2
"大塊",1
"大會",3
"大概",3
"大肆宣傳",1
"大道",4
"大團結",1
"大壽",1
"大酸",1
"大增",1
"大樓",5
"大樓住戶",1
"大學",3
"大選",5
"大戲",1
"大聲",1
"大膽",5
"大黨",3
"女性",1
"女婿",5
"子弟兵",1
"寸步難行",1
"小女兒",1
"小巴",2
"小平",22
"小平外",3
"小平本",1
"小平將",1
"小年夜",1
"小事",1
"小看",1
"小馬哥",1
"小組",1
"小跑步",1
"小燈",2
"小鎮",1
"工作",3
"工作人員",2
"工具",1
"工程",2
"已久",3
"已於",1
"已非",1
"已訂",1
"已經",16
"已達",1
"已獲",1
"才能",18
"不力",1
"不久",1
"不大",1
"不小",1
"不予",1
"不太",2
"不太可能",4
"不少",15
"不止",2
"不止一次",1
"不可",1
"不必",5
"不用",10
"不再",3
"不同",12
"不好",5
"不好意思",2
"不如",2
"不成",2
"不自提",1
"不至於",1
"不行",2
"不低",1
"不克",1
"不利",1
"不均",1
"不改",1
"不見得",1
"不言而喻",1
"不足",6
"不佳",1
"不到",3
"不受",2
"不怕",1
"不沾鍋",1
"不知",2
"不知情",1
"不便",2
"不施",1
"不相",2
"不要",22
"不計其數",1
"不倒",1
"不缺",1
"不能",7
"不高",2
"不動產",1
"不夠",7
"不強",1
"不得",3
"不得不",3
"不患",1
"不符",1
"不勞",1
"不提",4
"不敢",4
"不智",2
"不曾",1
"不減",1
"不無道理",1
"不然",1
"不等",1
"不僅",2
"不想",3
"不會",37
"不置可否",1
"不該",2
"不過",30
"不實",1
"不彰",1
"不滿",8
"不盡",1
"不算",1
"不管",3
"不認",2
"不需",2
"不論",9
"不論如何",1
"不輸給",1
"不選",2
"不錯",1
"不應",3
"不斷",6
"不願",1
"不顧",1
"不讓",3
"中午",1
"中心",5
"中央",5
"中央社",8
"中央政府",2
"中央黨部",3
"中旬",6
"中低",3
"中並",1
"中性",1
"中要",1
"中國",10
"中國時報",1
"中國商銀",1
"中華民國",7
"中華路",1
"中間",2
"中道",1
"中樞",3
"中橫",1
"中繼",1
"之一",2
"之力",1
"之下",1
"之內",1
"之日",1
"之外",5
"之爭",3
"之前",8
"之姿",1
"之後",11
"之計",1
"之風",1
"之握",1
"之間",1
"之感",1
"之路",2
"予人",1
"互打",1
"互別",1
"互信",1
"互相矛盾",1
"互動",2
"互設",1
"五大",1
"五度",1
"五建",1
"什麼",13
"什麼樣",2
"今夕",1
"今天",44
"今天上午",7
"今天下午",1
"今天天氣",1
"今日",2
"今年",14
"今年年底",1
"今年底",2
"今年過年",1
"今早",4
"今到",1
"今晚",1
"今發布",2
"今遭",1
"今還",1
"介入",4
"介紹",2
"仍不出",3
"仍不敵",1
"仍多會",1
"仍待",2
"仍要",3
"仍然",2
"仍霧裡",1
"內疚",2
"內政",1
"內政部",14
"內容",1
"內除",2
"內鬥",1
"內部",5
"內湖",6
"公尺",2
"公司",1
"公布",5
"公平",8
"公平合理",1
"公正",2
"公共利益",1
"公共設施",5
"公告",1
"公私",3
"公車",1
"公車站",3
"公帑",1
"公益",3
"公教",13
"公設",4
"公寓",10
"公費留學",1
"公開",10
"公開場合",2
"公會",1
"公辦",6
"公營",1
"公職",1
"公職人員",1
"公權力",2
"六月",1
"六級",1
"六線",1
"冗長",1
"分別",2
"分兩",1
"分析",5
"分秒必爭",2
"分庭抗禮",1
"分書",1
"分級",1
"分級分類",1
"分區",2
"分票",1
"分裂",6
"分擔",1
"切身",1
"化解",3
"匹敵",1
"升斗小民",1
"午餐",4
"友人",1
