"Var1","Freq"
"一一",1
"一人",1
"一大",2
"一不小心",1
"一切",7
"一天",2
"一片",1
"一句",1
"一再",3
"一同",7
"一回",1
"一年",1
"一次",1
"一百件",2
"一位",3
"一步",2
"一事",2
"一些",1
"一併",1
"一刻",1
"一坪",1
"一坪換",1
"一定",26
"一屆",1
"一拖再拖",1
"一直",2
"一則",1
"一度",2
"一致",1
"一致同意",1
"一面",2
"一個",16
"一個月",2
"一個身",1
"一哭",1
"一家",1
"一家親",1
"一旁",1
"一般",1
"一起",7
"一連",1
"一連串",1
"一喊",1
"一場",15
"一筆",1
"一群",2
"一對一",1
"一樣",11
"一輩",1
"一戰",2
"一頭霧水",1
"一擊",1
"一擬",1
"一點",4
"一邊",1
"丁丁",3
"丁守中",262
"丁若能",1
"丁連",1
"丁說",2
"九二",1
"九個",1
"了嗎",1
"了解",15
"了擬",1
"二分法",1
"二度",1
"二個",1
"二航廈",1
"二階",4
"二線",1
"二鬧",2
"人力",7
"人口老化",5
"人士",6
"人才",6
"人中",1
"人之姿",1
"人民",3
"人用",1
"人行道",6
"人均",2
"人事",1
"人物",16
"人則",2
"人品",1
"人活",2
"人們",1
"人員",3
"人格",2
"人氣",5
"人能",1
"人棄",1
"人組",1
"人許",2
"人陳敏鳳",1
"人陳鳳馨",1
"人勝選",1
"人渣",2
"人開",1
"人黃暐瀚",2
"人想",1
"人愈",1
"人像",1
"人管",4
"人認",2
"人數",8
"人選",40
"入主",1
"入場",3
"八年",2
"八百壯士",4
"八段錦",1
"八萬",1
"八德",1
"刁難",1
"力拱管",1
"力挺",1
"力氣",1
"力量",12
"十七",1
"十二",1
"十五",1
"十年",2
"十年磨一劍",1
"十足",1
"三人",1
"三天",2
"三立",1
"三年",2
"三百五十",1
"三位",1
"三個",3
"三強",1
"三路",1
"三緘其口",1
"上下班",1
"上山",2
"上午",22
"上去",2
"上台",1
"上任",6
"上吊",2
"上周",1
"上前",2
"上海",4
"上班",1
"上常",1
"上場",1
"上路",3
"上網",1
"上課",1
"下午",11
"下去",1
"下台",5
"下次",4
"下來",2
"下周",1
"下屆",1
"下面",1
"下場",1
"千則",7
"千萬",2
"千萬人次",1
"千錯",1
"口才",1
"口角",1
"口味",1
"士林",3
"士氣",1
"大人物",1
"大小",6
"大不相同",1
"大同區",2
"大多",1
"大安",3
"大江南北",1
"大老認",2
"大事化小",1
"大佳",1
"大受",1
"大於",3
"大門",1
"大約",1
"大家",26
"大笑",2
"大排場",2
"大敗",1
"大眾",2
"大陸",12
"大幅",4
"大幅度",1
"大會",3
"大概",2
"大溪",1
"大運",1
"大道",1
"大酸",1
"大閨女",1
"大樓",7
"大談",1
"大學",4
"大學校長",4
"大選",7
"大頭",1
"大舉",1
"女兒",4
"子哲",1
"子敬",7
"子敬還",1
"小巴",1
"小平",105
"小平以",1
"小平到",1
"小平則",3
"小平開",1
"小平槓",2
"小平認",2
"小平還",1
"小秀",2
"小朋友",1
"小孩",1
"小孩子",2
"小英",3
"小時",3
"小圈圈",1
"小組",8
"小組會",1
"小說",1
"小雞",4
"山區",3
"山節",5
"川普",1
"工作",9
"工務局",1
"工程",7
"己力",1
"已久",3
"已向",2
"已成",1
"已快",2
"已經",21
"已過",1
"已達",3
"已邀",1
"干預",1
"才俊",1
"才能",9
"才給",1
"不大",2
"不予置評",1
"不分",2
"不太熟",1
"不少",10
"不以",2
"不可",4
"不可否認",1
"不可思議",1
"不外",1
"不用",5
"不休",1
"不再",6
"不合",1
"不同",5
"不多",2
"不自提",2
"不行",2
"不免",1
"不妥",2
"不見",1
"不足",1
"不到",4
"不易",3
"不知",2
"不便",1
"不信任感",1
"不約而同",1
"不耐",1
"不耐煩",1
"不要",25
"不負責任",1
"不准",1
"不涉",1
"不租",1
"不能",25
"不配",1
"不高",1
"不參",3
"不夠",8
"不得",5
"不得已",2
"不掛",1
"不清",2
"不符",3
"不勝其擾",1
"不提",1
"不敢",3
"不發",2
"不僅",3
"不會",23
"不該",5
"不過",17
"不滿",3
"不管",2
"不認",1
"不論",1
"不論如何",1
"不適",2
"不靠",1
"不選",3
"不錯",1
"不應",6
"不斷",6
"不難",1
"不願",3
"不顧",1
"不讓",2
"中山",1
"中午",1
"中天",9
"中心",9
"中央",9
"中央公園",3
"中央社",7
"中央黨部",3
