"Var1","Freq"
"一一",4
"一七",2
"一二年",1
"一人",6
"一八",3
"一十九",1
"一下",43
"一下下",1
"一下子",2
"一下手",1
"一千七百",1
"一口",9
"一口氣",6
"一大早",2
"一中",7
"一元",1
"一公托",2
"一分鐘",1
"一切",27
"一天",49
"一天兩天",1
"一天到晚",2
"一心",1
"一手",1
"一支",11
"一斤",1
"一方",1
"一方面",3
"一日",5
"一月",2
"一月底",3
"一毛錢",1
"一片",3
"一仗",3
"一代",2
"一以",1
"一以貫之",2
"一出",2
"一半",9
"一半則",1
"一卡通",3
"一句",15
"一台",6
"一旦",16
"一本",3
"一玄",1
"一生",5
"一目了然",1
"一石二鳥",1
"一件",8
"一任",2
"一份",6
"一休",15
"一共",3
"一再",6
"一列",1
"一同",35
"一名",11
"一向",1
"一回",1
"一字排開",2
"一年",39
"一年一度",4
"一年多來",2
"一年級",1
"一早",11
"一朵",1
"一次",76
"一次次",1
"一次性",3
"一死",1
"一百",1
"一百四十",1
"一百位",1
"一至",1
"一串",1
"一位",19
"一役",2
"一批",3
"一把",8
"一把抓",1
"一改",1
"一束",1
"一步",14
"一步登天",3
"一決雌雄",1
"一系列",6
"一角",3
"一言堂",3
"一言喪邦",1
"一言興邦",1
"一車",2
"一事",29
"一些",43
"一併",3
"一來",2
"一例",17
"一兩",1
"一刻",4
"一周",5
"一味",1
"一命",1
"一定",94
"一枝獨秀",6
"一波",13
"一波三折",8
"一狗衝",1
"一直",59
"一股",2
"一長串",1
"一門",1
"一則",2
"一前一後",1
"一封",1
"一度",16
"一律",2
"一挖",2
"一施",1
"一查",1
"一段",7
"一段時間",8
"一段票",1
"一段距離",1
"一段話",1
"一派胡言",1
"一秒",1
"一致",16
"一軍不選",2
"一面",3
"一面鏡子",1
"一首",2
"一修",1
"一個",164
"一個月",24
"一個多",1
"一個多月",1
"一個樣",1
"一員",1
"一套",4
"一家",10
"一家人",1
"一家親",27
"一席",3
"一席之地",2
"一席話",1
"一座",6
"一旁",5
"一時",4
"一校",2
"一根",5
"一案",1
"一氧化碳",2
"一站式",2
"一級",2
"一般",15
"一草一木",1
"一起",101
"一陣",6
"一陣子",1
"一隻",3
"一假",1
"一副",1
"一問",1
"一問三不知",3
"一圈",2
"一國",4
"一國兩制",1
"一堂",1
"一堂課",1
"一帶",4
"一張",8
"一敗塗地",2
"一桶",1
"一條",5
"一條線",1
"一眼",2
"一處",3
"一貫",1
"一連",8
"一連串",1
"一部",6
"一頂",1
"一場",11
"一景",1
"一期",1
"一棒",4
"一棟",1
"一番",1
"一番話",2
"一筆",2
"一等",1
"一週",3
"一塊",8
"一塌糊塗",2
"一意孤行",1
"一搏",3
"一新",1
"一會",1
"一盞盞",1
"一碰",1
"一群",8
"一萬",1
"一萬元",2
"一萬步",2
"一萬兩千",1
"一路",14
"一路上",4
"一遍",1
"一道",2
"一墊",2
"一幕",2
"一種",27
"一網打盡",1
"一語",2
"一嘴",5
"一樁",2
"一模一樣",1
"一樣",78
"一窮二白",1
"一篇",1
"一課",3
"一輩子",1
"一戰",3
"一整天",2
"一餐",1
"一環",7
"一聲",1
"一臂之力",1
"一臉",1
"一舉",6
"一顆",3
"一點",33
"一點一滴",1
"一職",18
"一邊",3
"一類",1
"一觸即發",1
"一警",4
"一黨",3
"一覽無遺",1
"一攤",3
"丁丁",13
"丁守中",289
"丁育",1
"丁育群",4
"丁對",2
"丁說",1
"七十",1
"七十四",1
"七十年",1
"七夕",2
"七分",4
"七戶",1
"七休",5
"七年",5
"七成",2
"七百",1
"七折",1
"七步",1
"七星",2
"七個",1
"七席",1
"七海",2
"七層",2
"七點",2
"乃至",1
"乃至於",1
"九二",6
"九十",3
"九點",1
"了不起",3
"了呢",1
"了然",1
"了給",1
"了嗎",6
"了解",56
"了熊",1
"了賴",1
"二二",1
"二人",2
"二十",1
"二十一日",1
"二十日",2
"二日",3
"二月",1
"二代",1
"二年",4
"二年級",1
"二成",1
"二次",3
"二次大戰",1
"二位",1
"二例",2
"二房",4
"二林",1
"二者",1
"二信",1
"二則",1
"二度",3
"二氧化硫",2
"二級",1
"二備",19
"二期",1
"二號",1
"二樓",1
"二線",1
"二館",1
"人一",1
"人人",3
"人力",1
"人口",42
"人口數",4
"人口遷移",3
"人口總數",1
"人士",49
"人大",1
"人工智慧",1
"人才",16
"人不睦",1
"人少",1
"人心",5
"人心思變",1
"人手",1
"人文",8
"人民",75
"人生",12
"人生價值",1
"人向",2
"人安",2
"人次",4
"人行道",4
"人均",3
"人身安全",2
"人車",1
"人事",18
"人事管理",1
"人事權",1
"人來過",1
"人來瘋",1
"人到",1
"人性",8
"人拉森",1
"人放話",3
"人物",30
"人狗",1
"人狗互",4
"人知",4
"人前",1
"人怒",1
"人按",2
"人約",1
"人要",12
"人降",1
"人們",3
"人員",25
"人家",16
"人格",5
"人氣",24
"人站",2
"人能",1
"人脈",1
"人送",2
"人偶",1
"人參",1
"人問",3
"人強",1
"人情世故",4
"人情冷暖",2
"人造",1
"人握",1
"人間",4
"人間煙火",2
"人想",1
"人會",5
"人瑞",1
"人群",4
"人話",1
"人道",1
"人壽",1
"人管",1
"人認",6
"人誡",1
"人誤",1
"人嘴",1
"人影",1
"人數",34
"人潮",5
"人緣",1
"人學",1
"人選",79
"人幫",1
"人牆",2
"人還",1
"人權",22
"人變",1
"人體",1
"入口",2
"入木三分",1
"入耳",1
"入住",12
"入夜",1
"入法",1
"入侵",1
"入場",1
"入獄",1
"入膠",1
"入學",1
"入選",1
"入聯",1
"入關",4
"入黨",2
"八十八年",1
"八小時",1
"八月",1
"八仙",10
"八代",1
"八年",5
"八成",1
"八百壯士",1
"八位",1
"八里",2
"八屆",1
"八度",5
"八席",1
"八德",1
"八點",1
"刀片",1
"力抗",1
"力求",8
"力爭",1
"力促",1
"力保",1
"力挺",12
"力挺世",1
"力挺前",1
"力挽狂瀾",1
"力推",4
"力量",136
"力道",2
"力撐",1
"十一月",1
"十一個月",1
"十七日",1
"十七年",1
"十二",1
"十二月",3
"十二位",1
"十二項",1
"十八位",1
"十三",1
"十三年",1
"十大",11
"十大建設",2
"十六",1
"十六名",1
"十分",8
"十四所",1
"十件",1
"十件事",2
"十多年",4
"十多個",2
"十年",4
