"Var1","Freq"
"一一",1
"一人",2
"一下",6
"一中",2
"一切",5
"一天",11
"一方",1
"一日",3
"一月",1
"一半",1
"一句",1
"一旦",3
"一生",2
"一任",1
"一份",1
"一休",1
"一同",1
"一名",2
"一年",3
"一年多來",1
"一曲",2
"一次",3
"一百六十萬",1
"一百六十萬元",1
"一百萬",1
"一位",4
"一把",1
"一步",1
"一身輕",1
"一事",1
"一些",1
"一併",1
"一例",1
"一刻",4
"一周",3
"一味",1
"一定",13
"一直",3
"一亮",1
"一室",1
"一度",7
"一段",1
"一段時間",3
"一致",3
"一個",21
"一個月",3
"一套",2
"一席",1
"一晃眼",1
"一站",1
"一起",8
"一陣",2
"一堆",1
"一票",2
"一貫",1
"一連",7
"一部分",1
"一場",4
"一番話",1
"一絲",1
"一項",1
"一群",2
"一路",4
"一鼓作氣",1
"一種",2
"一樣",18
"一擬",1
"一舉",1
"一點",5
"丁守",2
"丁守中",196
"丁說",1
"七十歲",1
"乃至",2
"了解",8
"二人",1
"二十七日",1
"二十五日",2
"二千",1
"二年",1
"二氧化碳",2
"二期工程",1
"二萬人",1
"二類",1
"人又轉",1
"人士",9
"人才輩出",1
"人才濟濟",1
"人引",1
"人比",1
"人民",5
"人事",1
"人來",3
"人依",1
"人爭",1
"人物",16
"人員",4
"人格",1
"人氣",5
"人問",1
"人帶",2
"人情世故",1
"人管",2
"人數",1
"人選",41
"人擠",1
"入黨",2
"八斗子",2
"八方",1
"八日",1
"八連",1
"力拱前",1
"力挺",1
"力量",13
"力邀",1
"十五",1
"十六日",3
"十分",1
"十分激烈",1
"十四日",2
"十時",1
"十萬",1
"十餘",1
"三八婦女節",1
"三大",3
"三分鐘",1
"三天",7
"三天兩頭",1
"三心兩意",1
"三方",4
"三月",3
"三月底",2
"三年",8
"三成",3
"三芝",1
"三流",2
"三倍",2
"三家",4
"三時",1
"三處",2
"上升",1
"上午",35
"上去",1
"上市",2
"上任",9
"上旬",1
"上次",3
"上百",1
"上周",1
"上屆",4
"上前",1
"上面",2
"上書",1
"上陣",3
"上排",2
"下午",16
"下去",1
"下台",1
"下旬",2
"下來",1
"下周一",1
"下排",2
"下跌",1
"下葬",1
"千公頃",1
"千則",2
"千億",3
"千億元",1
"口口聲聲",2
"口水",3
"口角",1
"口罩",1
"口號",2
"土地",16
"土地利用",1
"士北",5
"士林",17
"大力支持",1
"大方向",1
"大片",1
"大台北",2
"大同",3
"大多",1
"大多數",1
"大好",2
"大安",4
"大老",5
"大老們",1
"大步",1
"大門",2
"大門口",2
"大家",44
"大珠小珠落玉盤",3
"大班",1
"大專院校",1
"大部分",2
"大陸",9
"大幅",2
"大幅提高",1
"大量",1
"大隊",3
"大亂",1
"大亂鬥",1
"大會",2
"大道",2
"大樓",1
"大學",2
"大學校長",1
"大橋",1
"大選",3
"大賽",1
"大辯論",2
"女性",2
"女性朋友",2
"子敬",3
"子彈",1
"寸土寸金",2
"小平",83
"小平今",1
"小平批",2
"小平則",2
"小平登",1
"小平認",2
"小姑娘",1
"小時",3
"小組",2
"小雞",6
"山區",1
"川普",1
"工作",4
"工具",1
"工程",17
"工程進度",2
"工會",2
"工廠",3
"已用過",1
"已近",1
"已破",1
"已經",16
"已達",1
"已獲",2
"才能",5
"才能救",1
"不一",1
"不了",2
"不大清楚",1
"不予",1
"不分",2
"不太能",1
"不少",4
"不乏",1
"不以",3
"不可",1
"不平",1
"不必",3
"不用",7
"不用說",1
"不再",1
"不合宜",1
"不合理",2
"不同",8
"不好",3
"不好意思",2
"不如",3
"不如歸去",1
"不成",1
"不行",1
"不利",1
"不妨",1
"不忍心",2
"不狂",1
"不足",6
"不足以",1
"不佳",2
"不到",7
"不知",4
"不肯",1
"不急",2
"不約而同",1
"不要",17
"不負責任",1
"不料",2
"不涉",1
"不缺",1
"不能",16
"不動",1
"不強",2
"不得了",1
"不得不",1
"不惜",2
"不敢",1
"不僅",7
"不僅如此",1
"不想",3
"不暇",1
"不會",20
"不煩",1
"不該",6
"不過",25
"不像",1
"不像柯",1
"不實",1
"不滿",7
"不管",2
"不認",2
"不遠",1
"不論",1
"不論什麼",1
"不適",3
"不遷",1
"不遲",1
"不選",2
"不遺餘力",1
"不應",7
"不斷",5
"不願",2
"不顧",1
"不變",2
"中上",2
"中下",2
"中下旬",2
"中山",3
"中午",4
"中天",2
"中心",14
"中心思想",3
"中以",2
"中央",15
"中央公園",6
"中央社",3
"中央黨部",3
"中正",6
"中正國小",1
"中旬",3
"中到",1
"中花",1
"中國",17
"中國時報",1
"中常會",2
"中途",2
"中部",4
"中華",1
"中華民國",5
"中華隊",1
"中間",6
"中黃",1
"中興大學",2
"中選會",2
"中壢市",2
"中繼",5
"之一",5
"之下",1
"之久",1
"之子",1
"之分",1
"之外",2
"之光",1
"之初",1
"之爭",5
"之前",4
"之後",6
"之差",1
"之務",2
"之處",2
"之間",1
"之路",2
"之道",3
"之稱",1
"之際",1
"之餘",1
"之戰",3
"之霸",1
"互別",1
"互信",1
"互相",3
"互相合作",1
"互動",3
"五十萬",1
"五大",1
"五分鐘",1
"五月",3
"五指山",1
"五星",1
"五個",1
"五萬",1
"五路",1
"什麼",25
"仇恨",1
"今天",49
"今天上午",3
"今天下午",3
"今由",1
"今年",7
"今年底",1
"今後",1
"今將",1
"今評",1
"仍大",1
"仍佳",1
"仍要",1
"仍高",1
"仍然",4
"仍僅",1
"仍會",2
"仍舊",1
"元利",1
"元氣",1
"內多人",1
"內要",1
"內容",2
"內部",4
"內湖",5
"公司",11
"公布",8
"公平",4
"公宅",2
"公告",27
"公投",3
"公車",2
"公里",2
"公務員",1
"公教",4
"公頃",7
"公開",3
"公園",6
"公墓",1
"公職",3
"公職人員",1
"六成",1
"六場",3
"分化",2
"分心",2
"分別",2
"分坐",1
"分兩",1
"分析",3
"分配",1
"分區",1
"分將",1
